1_name_lt;Dermesztô fagy
1_tooltip_lt;Minden körben, a kör kezdetén 2-vel sebzi az ezen a soron tartózkodó <b>leggyengébb egységet</b>.
100_fluff;A Kontinensen nem mindenki szolgál királyokat, királynôket, hercegeket vagy császárokat. Azonban azt sem állíthatjuk, hogy ne lehetne ôket meggyôzni egy súlyos erszénnyi arannyal. Végtére is, mindenkinek megvan az ára.
100_name;Semleges
101_fluff;Szörnyek garmadája, az alghouloktól a zeúglokig. Láttukra mind megremegnek, legyenek akár Észak népei, akár Nilfgaardé.
101_name;Szörnyek
102_fluff;Az erôs Nilfgaardi Birodalom addig nem nyugszik, amíg nem a fekete-arany lobogói lengenek az egész Kontinens fölött. Ha az elmúlt évek eseményeibôl bármilyen következtetés levonható, akkor elôbb-utóbb ez bekövetkezik.
102_name;Nilfgaard
103_fluff;Királyságok, hercegségek, díszfelvonulások... Észak birodalmai számosak és változatosak. Ám nincs arra idejük, hogy egymással torzsalkodjanak, ugyanis a Nilfgaardi Birodalom hatalmával szemben csak egyesült erôvel van esélyük.
103_name;Északi Királyságok
104_fluff;Ellenállók, akik a másfajúak jogaiért harcolnak. Hogy elérjék céljukat, nem riadnak vissza semmilyen eszköz alkalmazásától, ezáltal változtatva a Kontinens összes erdejét csatatérré... És temetôkké.
104_name;Mókus
105_fluff;Ádáz harcosok, akik nem félik sem a hideget, sem a halált. Azért nekik is vannak gyengéik... Úgy mint a mézsör, az éneklés, és a szalmában hancúrozás.
105_name;Skellige
113302_fluff;A legjobb dolog a fagyban? Hogy az elesettek hullái nem indulnak oszlásnak olyan hamar.
113302_name;Dermesztô fagy
113302_tooltip;Minden körben, a kör kezdetén 2-vel sebzi az ezen a soron tartózkodó <b>leggyengébb egységet</b>.
113305_fluff;Egy jó parancsnok minden vágya,... egy rossznak pedig a rémálma.
113305_name;Átláthatatlan köd
113305_tooltip;Minden körben, a kör kezdetén 2-vel sebzi az ezen a soron tartózkodó <b>legerôsebb egységet</b>.
16384_name_lt;Tûz +
16384_tooltip_lt;Minden körben, a kör kezdetén az ezen soron tartózkodó <b>minden egység</b> 66%-nyi eséllyel sebzôdik 2-vel.
2_name_lt;Átláthatatlan köd
2_tooltip_lt;Minden körben, a kör kezdetén 2-vel sebzi az ezen a soron tartózkodó <b>legerôsebb egységet</b>.
200001_fluff;Ha ez kellene ahhoz, hogy megmentsük a világot, akkor jobb, ha inkább hagyjuk elpusztulni.
200001_name;Ríviai Geralt
200001_tooltip;<keyword=resilient>Rugalmas</keyword>.\n<keyword=order>Parancs</keyword>: Erôsíti <b>Cahir Dyffrynt</b> ennyivel: {Boost} , és <keyword=duel>Párbajozik</keyword> egy ellenséggel.\n<keyword=cooldown>Lehiggadás</keyword>: {Counter}.
200002_fluff;Ezek a kis fickók már-már aranyosak... ha figyelmen kívül hagyod ezt az egész gonosz gyilkos attitűdöt.
200002_name;Nekker
200002_tooltip;Minden körben, a kör kezdetén egy <b>Nekkert</b> <keyword=summon>Idéz</keyword> erre a sorra a paklidból.
200003_fluff;Csúnya – a természet így közli veled, hogy "tartsd távol magad".
200003_name;Arakász dolgozó
200003_tooltip;Akárhányszor ez az egység sebzôdik és túléli, egy <b>Arakász ivadékot</b> <keyword=spawn>Teremt</keyword>.
200004_fluff;Vigyázzanak, uraim, nekkerek tanyáznak ezen híd alatt!
200004_name;Nekker harcos
200004_tooltip;Egy a csatamezôn vagy kézben lévô <b>bronz szövetséges</b> választása után {Counter} példányt <keyword=spawn>Teremt</keyword> belôle a paklidba.
200005_fluff;A pokolfajzat egy kicsit a szarvasra hajaz. Egy hatalmas, gonosz szarvasra.
200005_name;Pokolfajzat
200005_tooltip;<keyword=deploy>Lehelyezés</keyword>: 3 szomszédos <b>ellenséges egység</b> erejét lefelezi.
200006_fluff;Pirosat a pirossal, fehéret a fehérrel, sárgát a sárgával. Ha így varrod össze, az biztos jó lesz.
200006_name;Tábori orvos
200006_tooltip;<keyword=deploy>Lehelyezés</keyword>: Kijátszik egy <b>véletlenszerûen választott szövetségest</b> a temetôdbôl.
200010_fluff;Habár a vajákos igen kapzsi s aranyra éhes, ne adjatok neki többet, mint: vízbefúltért: ezüstgarast, vagy egy s felet.
200010_name;Vízbefúlt
200010_tooltip;Egy <b>ellenséget</b> a másik sorra mozgat, és {Damage} sebzést okoz neki.
200011_fluff;A griffek szeretnek játszani az áldozataikkal. Élve falják fel ôket, darabról darabra.
200011_name;Griff
200011_tooltip;Egy <b>véletlenszerûen választott ellenséget</b> az ezen egységgel átellenes sorra mozgat, és minden, azon a soron tartózkodó egységnek {Damage} sebzést okoz.
200013_fluff;A Szarvasmarha Védelmi Erô egyik tagja. Mindig hûséges!
200013_name;Ördögfattya
200013_tooltip;Nincs képessége.
200015_fluff;Ez egy griff, csak azoknál kicsit... griffesebb.
200015_name;Nemesgriff
200015_tooltip;Egy <b>véletlenszerûen választott szövetségest</b> erre a sorra mozgat, és minden, ugyanitt található egységet Erôsít 4-gyel.
200229_fluff;Ha kifogysz a parasztokból, a csalik is megfelelô nyílvesszô-fogók.
200229_name;Csali
200229_tooltip;<keyword=restraint>Megfékezett</keyword>.\nA csatamezôrôl visszaküld egy egységet a kézbe.
200245_fluff;Képzeld el a szárnyas kígyó és a rémálom keresztezôdését! A vívernek rosszabbak.
200245_name;Vívern
200245_tooltip;Erôsíti <b>magát</b> a soron található egységek számával, és azonos értékkel sebez egy <b>ellenséget</b>.
200266_fluff;A férjed uralma alatt tíz évet szolgáltam, a tiéd alatt újabb nyolcat. És ezen idô alatt még egyszer sem szolgáltam ennél nemesebb ügyet.
200266_name;Reynard Odo
200266_tooltip;<keyword=deploy>Lehelyezés</keyword>: 1 <keyword=charge>Töltet</keyword> pontot ad a lemerült <keyword=order>Paranccsal</keyword> bíró egységeknek.
200267_fluff;Felség... Az, hogy a királynô leereszkedjen a köznéphez, egyszerûen nem járja...
200267_name;Caldwell gróf
200267_tooltip;<keyword=deploy>Lehelyezés</keyword>: Minden szomszédos egységbôl egy újabb példányt játszik ki a paklidból.
200268_fluff;A mieinket eteti, az ellenséget vérezteti.
200268_name;Lyriai kaszás
200268_tooltip;<keyword=loyal>Hûséges</keyword>: Erôsíti ezt az egységet ennyivel: {Boost}.
200269_fluff;Milyen tábori kórház, katona?! Tetesse sínbe azt a kart, küldjön le két korty szíverôsítôt, aztán húzza vissza a valagát az alakzatba!
200269_name;Erôsítô fôzet
200269_tooltip;Erôsít egy egységet ennyivel: {Boost}.
200270_fluff;Háborús veterán vagyok! Meg tudnál szánni egy koronával?
200270_name;Nyomorult gyalogság
200270_tooltip;<keyword=deploy>Lehelyezés</keyword>: Egy alap példányt <keyword=spawn>Teremt</keyword> ebbôl az egységbôl.\nMinden körben, a kör kezdetén <b>ennek az egységnek</b> az ereje azonos lesz a vele szomszédos leggyengébb egységével. Ha nincs vele szomszédos egység, megsemmisül.\n<keyword=armor>Páncél</keyword>: 5.
200271_fluff;Az adeptusok minden hóbortját kielégítik, úgy élnek Aretúzában, mint a hercegnôk. A város fele azért él, hogy ôket szolgálja: varrónôk, kalaposok, cukrászok, kifutó fiúk...
200271_name;Aretuzai adeptus +
200271_tooltip;<keyword=immune>Immunis</keyword>.\n<keyword=deploy>Lehelyezés</keyword>: Válassz egy <b>bronz szövetségest</b> a kezedben vagy a csatamezôn, és {Counter} példányt hozzáad a paklidhoz. Aztán Erôsít minden kézben, pakliban és csatamezôn található példányt ennyivel: {Boost}.
200272_fluff;A semmibôl valamit – ez az én mesterségem.
200272_name;Lyriai kovács
200272_tooltip;<keyword=deploy>Lehelyezés</keyword>: Kijátszik egy <b>Csecsebecsét</b> a temetôbôl, és <keyword=doomed>Kárhozott</keyword> állapotot ad neki.
200273_fluff;Egy kôhajító felér vagy száz talpassal... És ezer hozzád hasonló féreggel.
200273_name;Kôhajító
200273_tooltip;<keyword=deploy>Lehelyezés</keyword>: 3 szomszédos egységnek 1 sebzést okoz.\nAkárhányszor egységet játszol ki ez mellé, megismétli a <keyword=deploy>Lehelyezés</keyword> képességet.\n<keyword=armor>Páncél</keyword>: 4
200274_fluff;A Jóság Könyve azt mondja, hogy a világ egy kert, amit az Istenek adományoztak az embereknek. És mi, emberek elhanyagoljuk ezt a kertet!
200274_name;Deneslei Eyck
200274_tooltip;Akárhányszor egy <b>szövetséges</b> sebzôdik, <b>önmagát</b> <keyword=strengthen>Erôsíti</keyword> ennyivel: {Strengthen}.
200275_fluff;A többi troll mindig is különcnek tartotta. Végtére is, ki az a józan gondolkodású, aki jobban szereti a színes papírdarabkákat a köveknél?
200275_name;Shupe
200275_tooltip;2 körönként, a kör kezdetén 1-gyel sebzi a szemközti sor összes egységét, amennyiben a szomszédos egységek erejének összege páros. Ha páratlan, akkor az ezen sor összes egységét sebzi 1-gyel, <b>önmagát</b> is beleértve, majd áthelyezôdik a másik sorra.
200279_fluff;Olyan, mintha egy pajzs és egy palánkfal házasságon kívüli gyermeke lenne.
200279_name;Könnyû fedezék
200279_tooltip;<keyword=restraint>Megfékezett</keyword>.\n<keyword=deploy>Lehelyezés</keyword>: Megcéloz egy <b>szövetségest</b>. Amikor az megsemmisül, a temetô helyett a kézbe kerül, ez pedig megsemmisíti <b>önmagát</b>.
200280_fluff;Ellenség elôttünk. De egyet se féljen...! Tudok kerülôutat.
200280_name;Lyriai felderítô
200280_tooltip;<keyword=deploy>Lehelyezés</keyword>: Megszüntet minden sorhatást a térfeleden.\n{Counter} kör után, a kör kezdetén kihúzza a paklid legfelsô lapját.
201047_fluff;Vigyázat! A kutya harap!
201047_name;Bitang hadúr
201047_tooltip;<keyword=duel>Párbaj</keyword> egy <b>nem-arany ellenséggel</b>.
201210_fluff;Ô lenne az, aki Spalla Bitangjait vezeti? Ô az, akit az Ebek Hercegének neveznek?
201210_name;Ebek Hercege
201210_tooltip;Kör kezdete elôtt, ha a szomszédos egységek erejének összege magasabb, mint önmagáé, akkor <b>önmagát</b> sebzi 3-mal.\nMinden körben, a kör kezdetén véletlenszerûen választott helyre mozdul, és 2-vel sebzi a szomszédos egységeket.
201214_fluff;A Hatalmas Nap melengesse sugaraival Északot, még ha ez azt is jelenti, hogy mindannyiótokat le kell, hogy mészároljam!
201214_name;Vreemde: Parancsnok
201214_tooltip;Minden körben, a kör kezdetén visszaállítja ezen egység erejét az alapra. Ha megsemmisül, <b>Meve</b> megnyeri a csatát.
201292_fluff;Hogy mondod? Hogy nem távozhatok innét élve? Akkor mindenki csak a holttestemen át!
201292_name;Haramia fôkolompos
201292_tooltip;2 körönként, a kör kezdetén eggyel jobbra mozgatja az <b>Emberrabló haramiát</b>.
201311_fluff;Emhyr var Emreis császár stratégiáját leginkább két szóval lehetne összefoglalni: megosztás és elterelés.
201311_name;Ál-lyriai tiszt
201311_tooltip;Ha egy egység sincsen megcélozva, megcélozza a <b>leggyengébb ellenséget</b>.\n3 kör után, a kör kezdetén <b>Alba lándzsássá</b> változik, és visszavonul a te térfeledre.
201313_fluff;A Nilfgaardiak a riadalom bármiféle jele nélkül közeledtek a királynô felé. Az ôket vezetô férfi rendkívül gazdagon díszített öltözetet viselt, és önhittség áradt belôle,... valamint pézsmaillat.
201313_name;Traheaern var Vdyffir
201313_tooltip;Minden körben, a kör kezdetén ezen egység <keyword=armor>Páncélja</keyword> a <b>Nilfgaardi kíséret</b> egyesült erejével lesz egyenlô.
201315_fluff;Ahová lépünk, a Hatalmas Nap sugarai követnek bennünket.
201315_name;Nilfgaardi felderítô
201315_tooltip;{Counter} körönként, a kör kezdetén húz egy lapot, ha vesztésre állsz.
201319_fluff;A partokat már jó ideje kifosztottuk! Ezért hát felhajózunk a Jarugán – aranyért és dicsôségért!
201319_name;Lippy Gudmund
201319_tooltip;1 kör után, a kör kezdetén kényszeríti a <b>legerôsebb egységet</b> Lippy megsebzésére, amely után Lippy sebzi meg amaz egységet.
201322_fluff;Mindig van mód a bejutásra. Csak a megfelelô kulcsra van szükség... Persze a mászás is egy lehetôség, ha nincs más.
201322_name;Bitang beszivárgó
