credits_2d_artist;2D Artist
credits_2d_artists;2D Artists
credits_2d_artists_coordinator;2D Artists Coordinator
credits_2d_generalist;2D Generalist
credits_3d;3D
credits_3d_artist;3D Artist
credits_3d_artists;3D Artists
credits_3d_artists_coordinator;3D Artists Coordinator
credits_3d_generalist;3D Generalist
credits_3d_intern;3D Intern
credits_3d_lead;3D Lead
credits_accountant;Accountant
credits_accountantsenior_vat_specialist;Accountant/Senior VAT specialist
credits_accounting;Accounting
credits_accounts_and_records_manager;Accounts & Records Manager
credits_accounts_and_records_office;ACCOUNTS & RECORDS OFFICE
credits_accounts_and_records_specialist;Accounts and Records Specialist
credits_accounts_specialist;Accounts Specialist
credits_acoustic_guitar;Acoustic Guitar
credits_additional_polish_localization;Additional Polish Localization
credits_additional_qa;Additional QA
credits_additonal_3d_artists;Additonal 3D Artists
credits_additonal_animation;Additonal Animation
credits_additonal_art;Additonal Art
credits_additonal_art_direction;Additonal Art Direction
credits_additonal_art_ui;Additonal Art UI
credits_additonal_audio;Additonal Audio
credits_additonal_design;Additonal Design
credits_additonal_game_direction;Additonal Game Direction
credits_additonal_ilustration_and_concept_art;Additonal Illustration and Concept Art
credits_additonal_production;Additonal Production
credits_additonal_programming;Additonal Programming
credits_additonal_story;Additonal Story
credits_additonal_vfx;Additonal VFX
credits_addtional_tech_art;Addtional Tech Art
credits_aditional_game_developement;Aditional Game Developement
credits_administration;Administration
credits_administrative_coordinator;Administrative Coordinator
credits_administrative_director;Administrative Director
credits_administrative_specialist;Administrative Specialist
credits_animation;Animation
credits_animation_coordinator;Animation Coordinator
credits_animation_vfx_team_supervisor;Animation & VFX Team Supervisor
credits_animations_and_vfx;Animations & VFX
credits_animator;Animator
credits_ardal_aep_dahy;Ardal aep Dahy
credits_art;Art
credits_art_director;Art Director
credits_art_qa_analyst;Art QA Analyst
credits_art_ui;Art UI
credits_artistic_director;Artistic Director
credits_artistic_supervision_cd_projekt_red;Artistic Supervision CD PROJEKT RED
credits_assistant_director;Assistant Director
credits_associate_creative_director;Associate Creative Director
credits_associate_release_manager;Associate Release Manager
credits_audio;Audio
credits_audio_engineer;Audio Engineer
credits_audio_project_lead;Audio Project Lead
credits_audio_qa;Audio QA
credits_audio_qa_analyst;Audio QA Analyst
credits_audio_qc;Audio QC
credits_back_office;BACK OFFICE
credits_barnabas_beckenbauer;Barnabas Beckenbauer
credits_bd_manager;BD Manager
credits_biłgoraj_suka;Biłgoraj Suka
credits_board_of_cd_projekt_sa;BOARD OF CD PROJEKT S.A.
credits_bouzouki;Bouzouki
credits_bowed_gusli;Bowed Gusli
credits_bowed_lute;Bowed Lute
credits_brazilian_portuguese;Brazilian Portuguese
credits_brazilian_portuguese_localization;Brazilian Portuguese Localization
credits_brazilian_portuguese_voiceovers;Brazilian Portuguese Voiceovers
credits_brouver_hoog;Brouver Hoog
credits_build_engineer;Build Engineer
credits_business_development;BUSINESS DEVELOPMENT
credits_business_development_and_legal_specialist;Business Development & Legal Specialist
credits_business_development_director;Business Development Director
credits_business_development_manager;Business Development Manager
credits_business_systems_development_manager;Business Systems Development Manager
credits_business_systems_specialist;Business Systems Specialist
credits_caldwell;Caldwell
credits_cast;Cast
credits_cast_manager;Cast Manager
credits_casting_director;Casting Director
credits_cd_projekt_asia;CD PROJEKT ASIA
credits_cdp_red_it;CDP RED IT
credits_cello;Cello
credits_character_artist;Character Artist
credits_character_td;Character TD
credits_chief_accountant;Chief Accountant
credits_chief_counsel_business_ip_and_privacy;Chief Counsel Business, IP & Privacy
credits_chief_counsel_corporate_governance_and_administration;Chief Counsel Corporate Governance & Administration
credits_chief_financial_controller;Chief Financial Controller
credits_chief_sound_engineer;Chief Sound Engineer
credits_cinematic_animation_lead;Cinematic Animation Lead
credits_cinematic_animator;Cinematic Animator
credits_cinematic_artist;Cinematic Artist
credits_co-founder_joint_ceo;Co-founder, Joint CEO
credits_comic_illustrator;Comic illustrator
credits_community_and_pr_manager_cis;Community & PR Manager - CIS
credits_community_and_pr_manager_italy;Community & PR Manager - Italy
credits_community_and_pr_manager_japan;Community & PR Manager - Japan
credits_community_and_pr_manager_spain_and_latam;Community & PR Manager - Spain & LatAm
credits_community_lead;Community Lead
credits_community_manager;Community Manager
credits_community_manager_brazil;Community Manager - Brazil
credits_community_manager_china;Community Manager - China
credits_community_manager_france;Community Manager - France
credits_community_manager_korea;Community Manager - Korea
credits_concept_artist;Concept Artist
credits_consolidation_specialistindependent_accountant;Consolidation Specialist/Independent Accountant
credits_controlling_specialist;Controlling Specialist
credits_copywriter;Copywriter
credits_corporate_governance;CORPORATE GOVERNANCE
credits_country_manager_china;Country Manager - China
credits_country_manager_japan;Country Manager - Japan
credits_country_manager_korea;Product Director - Korea
credits_cplus_developer;Senior C# Developer
credits_customer_support_representative;Customer Support Representative
credits_customer_support_supervisor;Customer Support Supervisor
credits_cutscenes;Cutscenes
credits_cutscenes_for_tb;Cutscenes for TB
credits_data_analyst;Data Analyst
credits_demavend;Demavend
credits_deputy_chief_accountant;Deputy Chief Accountant
credits_deputy_chief_accountantconsolidation_specialist;Deputy Chief Accountant/Consolidation Specialist
credits_design;Design
credits_design_director;Design Director
credits_designer;Designer
credits_designer_and_producer;Designer & Producer
credits_designer_producer;Designer & Producer
credits_developer;Developer
credits_devops;DevOps
