menu.nr001_raynard_default.127;Villem nem alkalmas királynak...
menu.nr001_raynard_default.128;Mi lett belôlünk...
menu.nr001_raynard_default.129;Hogy jönnek ki Gasconnal?
menu.nr001_raynard_default.130;Miért ily kegyetlenek a nilfgaardiak?
menu.nr001_raynard_default.131;Miért is nem láttam át Caldwellen?
menu.nr001_raynard_default.132;Mihez kezd a háború után?
menu.nr001_raynard_default.140;Nem unalmas egyedül üldögélni itt?
menu.nr001_raynard_default.151;Hogy Reginald hibázni szokott, az önmaga elôtt sem volt titok...
menu.nr001_raynard_default.152;Rossz végre volt kárhoztatva, merem állítani.
menu.nr001_raynard_default.16;Mennem kell.
menu.nr001_raynard_default.175;Egy kör gwent, esetleg?
menu.nr001_raynard_default.96;Igen. Minden.
menu.nr001_raynard_default.97;Több szeretnék lenni az Ön számára, mint a királynôje.
say.nr001_raynard_default.101;Semmiség, Reynard. Lényegtelen.
say.nr001_raynard_default.103;Hadd fogalmazzak nyersen...! Többé nem kívánok parancsokat adni Önnek.
say.nr001_raynard_default.104;Felség,... kívánja, hogy távozzam? Elhagyjam az udvart?
say.nr001_raynard_default.105;Nem, Reynard.
say.nr001_raynard_default.108;A beszélgetésünkre a tábortûz mellett, Angrenben... Emlékszik belôle bármire is?
say.nr001_raynard_default.109;Csak azt kívánom mondani,... hogy már nem csak a királynôje szeretnék lenni. Érti,... mire gondolok?
say.nr001_raynard_default.110;Igen,... Meve. Értem.
say.nr001_raynard_default.111;Ideje más ügyekkel is foglalkoznom.
say.nr001_raynard_default.142;Nem unalmas egyedül üldögélni itt? Nem vágyik mások társaságára, esetleg elanekdotázgatni a kocsmárossal...?
say.nr001_raynard_default.143;Igazán értékelem a törôdését, Felség... De inkább a csendet szeretem.
say.nr001_raynard_default.144;Mindig is így volt ez Önnel? Mindig csak önmagában?
say.nr001_raynard_default.145;Épp ellenkezôleg, Felség. Fiatalon állandóan társaság vett körül, élveztem a beszélgetéseket.
say.nr001_raynard_default.146;És mi változtatta meg?
say.nr001_raynard_default.147;Az, hogy ez az élvezet csaknem a fejembe került. De... tényleg nem ismeri a történetemet, Asszonyom? Hogy miképp lettem az Ön megboldogult férje tanácsadója?
say.nr001_raynard_default.148;Alig húsz telet láttam, amikor besoroztak. És pályafutásomat rögtön hadnagyi ranggal kezdtem – de nem érdemeim, hanem születésem jogán. Ám a veterán tisztek megbecsülését – lettek volt egyenrangúak vagy idôsebbek – nem tudtam kivívni. Nem mintha amúgy kiérdemeltem volna.
say.nr001_raynard_default.149;Nem ismerem,... de szívesen meghallgatnám.
say.nr001_raynard_default.150;Az lett hát minden célom, hogy a tiszteletüket kivívjam... És bár az évek múltával bölcsebbé is lehettem volna, mégis, elkezdtem a király döntéseivel szembeni véleményemnek hangot adni. Hogy "ezt a manôvert Reginald elhibázta", meg hogy "nem gondolta át", máskor meg, hogy "úgy melléfog, mintha még mindig a hadiakadémia diákja volna"...
say.nr001_raynard_default.155;Nos,... Reginald soha nem volt egy briliáns stratéga. Úgy is nevezték, hogy "A Bátor", s nem pedig úgy, hogy "A Ravasz" – és nem ok nélkül, ezt bátran kijelenthetjük...
say.nr001_raynard_default.156;Az ilyesfajta beszéd pedig csak balszerencsével végzôdhet...
say.nr001_raynard_default.160;Nem sokkal ez után már láncok csörögtek rajtam. Egy másik tiszt feljelentett... Felségsértéssel vádoltak.
say.nr001_raynard_default.161;Nem telt bele fertály órába sem, és a hadbíróság már ki is mondta az ítéletet – felségárulás vádjában bûnösnek találtak, és a bitó várt rám.
say.nr001_raynard_default.162;Ám Reginald elôbb jóváhagyta a kivégzést,... aztán utasított, hogy ismételjek meg minden egyes szót, amit a személyérôl és a tetteirôl mondtam. Izzadságomban fürödve, meg-megakadó hanggal megtettem, amire utasított.
say.nr001_raynard_default.163;Reginald szó nélkül végighallgatta,... és miután befejeztem, kijelentette, hogy igazam volt. Aztán kinevezett a tanácsadójának. "Ilyen eszes fickónak még jó hasznát veszem a közelemben."
say.nr001_raynard_default.164;És valóban... Bár maga nem volt éles eszû, Reginald a bölcsességet mindig felismerte másokban, és el is fogadta a jótanácsokat.
say.nr001_raynard_default.165;Ekkor fogadtam meg két dolgot: elôször is, hogy bolond módjára többé nem jártatom a számat. Másodszor, hogy soha nem árulom el a bizalmát.
