menu.nr005_isabel_default.102;Mihez kezdesz eztán?
menu.nr005_isabel_default.145;Kérlek, folytasd!
menu.nr005_isabel_default.146;Eleget hallottam. Távozz!
menu.nr005_isabel_default.156;Örülnénk, ha maradnál.
menu.nr005_isabel_default.157;Ezt nem engedhetem.
menu.nr005_isabel_default.234;Volna kedved kártyázni egyet?
menu.nr005_isabel_default.236;Nem mondanám, hogy átlagos varázslónô vagy...
menu.nr005_isabel_default.51;Mesélj még Nilfgaardról.
menu.nr005_isabel_default.52;Ég veled!
menu.nr005_isabel_default.53;Beszélni kívántál velem?
menu.nr005_isabel_default.55;Mirôl szoktál beszélgetni a katonáimmal?
menu.nr005_isabel_default.66;Kérlek, ne oktass ki engem!
menu.nr005_isabel_default.67;Alábecsülsz engem.
say.nr005_isabel_default.100;És én Önt, Asszonyom.
say.nr005_isabel_default.101;Megértem, Isbel. Jó szerencsét kívánok neked, vigyen bármerre is az utad!
say.nr005_isabel_default.103;Az Aranyló Tornyok Városa – nem hiszem, hogy ismernék bárkit is, aki a saját szemével látta.
say.nr005_isabel_default.104;Rettenetes. Bizonyára gyûlölted.
say.nr005_isabel_default.105;Tudta, hogy a köznépbôl sokan úgy hiszik, a tornyok valódi aranyból épültek? Valójában amiatt hívják így ôket, ahogy a déli nap fénye megcsillan a tornyok tetején.
say.nr005_isabel_default.106;Akkoriban semmi kivetnivalót nem láttam benne. Csodáltam a gladiátorokat a bátorságukért, a képzettségükért, a ravaszságukért... Habár most már szégyenkezem emiatt.
say.nr005_isabel_default.107;Nilfgaard minden lányának meg kell szoknia a vér látványát – mondta. Mert arra a sorsra rendeltettünk, hogy meghódítsuk a világot.
say.nr005_isabel_default.108;Amikor még csak leány voltam, az apám elvitt a Nagy Amfiteátrumba, hogy lássam, miként harcolnak a gladiátorok.
say.nr005_isabel_default.109;A családom már jóval azelôtt a fôvárosban élt, hogy Nilfgaard egyáltalán császársággá lett. A város kápráztató szépsége mindig is büszkélkedésre adott okot,... amibôl idôvel aztán önteltség lett.
say.nr005_isabel_default.110;Nem egy falusi boszorkány vagy, sem pedig gyógyító. Ez nyilvánvaló. De nem is úgy festesz, mint egy Északi varázslónô.
say.nr005_isabel_default.111;Hm... Nem használok elbájolást, igaz. Mindig is úgy véltem, a testet hagyni kell megöregedni, elmúlni. Ahogy azt a természet diktálja, mert ez a dolgok rendje.
say.nr005_isabel_default.112;Mintha egy druidát hallanék, aki egyensúlyról, harmóniáról és az áldott rothadásról hadovál.
say.nr005_isabel_default.113;A druidáknak meglehetôsen rossz a megítélésük. Mégis, ezen dolgokat illetôen igazuk van, úgy hiszem. Szembeszállni a természet törvényeivel – abból még soha nem kerekedett semmi jó.
say.nr005_isabel_default.114;Ez az oka annak is, hogy nem viselsz lábbelit?
