menu.nr006_gabor_zigrin_default.236;Kártyázzunk egyet?
menu.nr006_gabor_zigrin_default.55;Mire gondolsz?
menu.nr006_gabor_zigrin_default.56;Váltsunk témát.
menu.nr006_gabor_zigrin_default.77;Ragyogó ötlet. Szervezd meg!
menu.nr006_gabor_zigrin_default.78;Semmi szükségem egy részeg hadseregre.
menu.nr006_gabor_zigrin_default.87;Ég veled!
menu.nr006_gabor_zigrin_default.88;Mit tudsz nekem mondani az Elöljárótokról?
menu.nr006_gabor_zigrin_default.89;Mihez kezdesz majd a háború után?
menu.nr006_gabor_zigrin_default.90;Mesélj még egy kicsit a Zigrin klánról.
menu.nr006_gabor_zigrin_default.91;Valójában miért hagytad oda Mahakamot?
say.nr006_gabor_zigrin_default.234;Há' persze! Csak hadd keverem meg jól elôbb ezt a paklit.
say.nr006_gabor_zigrin_default.25;Felség, beszédem volna a szállásmesterével. Én–– Már megbocsássa a szóhasználatomat, de meg nem iszom azt a lóhúgyot, amit a kantinban mér.
say.nr006_gabor_zigrin_default.26;Ha fogalmazhatok nyersen, Asszonyom, amire Reynardnak abban a fene merev életében végre szüksége volna, az egy kiadós berúgás.
say.nr006_gabor_zigrin_default.27;Uh, ez Reynard mûve, semmi kétség... Nem szereti, ha az emberei sokat isznak.
say.nr006_gabor_zigrin_default.28;Szóval lenne Felségednek egy javaslatom. Egy szállítmány a legjobb törp méz- és világos sörbôl – el tudom intézni. Higgye el: nem lesz gond az emberek hozzáállásával, miután leguríthatnak egy kis szeszt a torkukon!
say.nr006_gabor_zigrin_default.29;Merev vagy sem, Reynardnak igaza van ebben. Egy korhelyekbôl álló seregnek semmi hasznát nem veszem.
say.nr006_gabor_zigrin_default.30;Ejj, no, Felséged tábora, Felséged szabályai... Ah... hm, legalább itt van nekem a pipám.
say.nr006_gabor_zigrin_default.31;Hmm... Jó meglátás. Ám legyen.
say.nr006_gabor_zigrin_default.32;Uh, köszönetem, drága Királynô! Még pár napig inni kellett volna abból a mosogatólébôl, és a pocsolyavizet is felhörpintettem volna.
say.nr006_gabor_zigrin_default.33;Bízom benne, hogy megoldod a dolgot.
