say.nr100_1_regular_battle.1;Köd fényes nappal. Miközben még a hôség is egyre tikkasztóbb. Valamiféle varázslat lenne?
say.nr100_1_regular_battle.10;Felség! Még több jön!
say.nr100_1_regular_battle.11;Megtömték a bendôjüket, Asszonyom! Nem lesz ez így jó, ó, nem, egyáltalán nem!
say.nr100_1_regular_battle.12;Teringettét...! Megerôsödtek, mint egy tinó. És mintha semmitôl se félnének!
say.nr100_1_regular_battle.13;Bevadultak, Úrnôm. Ez színtiszta vérszomj! A saját túlélésükkel sem törôdnek, semmiféle fájdalmat nem éreznek! Láttam már ilyet korábban...
say.nr100_1_regular_battle.14;Felség, meg kell hátrálnunk, vissza kell vonulnunk. Nem gyôzhetünk ellenük, legalább minimalizáljuk a veszteségeinket.
say.nr100_1_regular_battle.15;Felség... Az embereink ok nélkül halnak! Meg kell óvnunk a sereget, hogy egy következô alkalommal majd felülkerekedhessünk!
say.nr100_1_regular_battle.16;Az istenekre! Még több démon! Csak úgy özönlenek!
say.nr100_1_regular_battle.17;Királynôm, nem szégyen feladni a harcot, amikor elfordul tôlünk a szerencse.
say.nr100_1_regular_battle.18;Az istállóját! Legyen hát, ha így kell lennie. Visszavonulunk, és rendezzük sorainkat.
say.nr100_1_regular_battle.19;Gyôznünk kell! Nem vonulhatunk vissza. Fegyvereket készenlétbe! Támadás!
say.nr100_1_regular_battle.2;Nem zárhatjuk ki a lehetôségét, Uram. Roppant óvatossággal kell eljárnunk.
say.nr100_1_regular_battle.20;Oda nézzenek! Még egy borzalom.
say.nr100_1_regular_battle.21;Pfuj... ez a szag! A sóm! Hol van a repülôsóm?
say.nr100_1_regular_battle.22;Figyelje! Attól a fortélytól csak még erôsebb lesz!
say.nr100_1_regular_battle.23;Bátran és buzgón, ti gazfickók, ti jobbágyok! A királynôtökért! Lyriáért!
say.nr100_1_regular_battle.24;A szörnyeknek esélyük sem volt ellenünk. Miénk a gyôzelem!
say.nr100_1_regular_battle.25;Hurrá! Éljen soká Meve királynô! Éljen soká Lyria!
say.nr100_1_regular_battle.3;Reynard! Mi ez? Valamiféle jelenés? Egy striga?
say.nr100_1_regular_battle.4;Nem tudom biztosan, Felség. Ez az elsô alkalom, hogy ilyen... valamit látok.
