menu.nr101_5_lyria.167;Ám legyen. Fejezd be a mondandódat.
menu.nr101_5_lyria.168;Sürgetôbb dolgunk is akad, Villem.
menu.nr101_5_lyria.208;Caldwell, ne tegye ezt!
menu.nr101_5_lyria.212;Dugja meg magát, Caldwell.
menu.nr101_5_lyria.25;Ebben az esetben kérlek, engedj szabadon!
menu.nr101_5_lyria.26;Inkább meghalok.
say.nr101_5_lyria.143;Hah! Hihetetlen! Ezt is megértem – hogy lássak valakit méltósággal a földön kúszni. Vérbeli uralkodó vagy, semmi kétség.
say.nr101_5_lyria.144;Van más lehetôségem?
say.nr101_5_lyria.145;Hmm, ha úgy vesszük... Néhány Bitang ugyancsak a város tömlöcében sínylôdik. Közös a célunk, hogy úgy mondjam. Egyesítjük erôinket?
say.nr101_5_lyria.148;Nem csihi-puhi lesz itt. Egy fiú fellázad az anyja ellenében, lyriai lyriainak farkasa...? Tartok tôle, egy vérháború kezdete ez.
say.nr101_5_lyria.149;Semmiség, Hölgyem. Egy Bitang sem mond nemet, ha kilátás van egy jó kis csihi-puhira.
say.nr101_5_lyria.150;Nos... már meg is vannak az elsô önkénteseid.
say.nr101_5_lyria.152;Nem maradt számunkra semmi Lyriában. A búvóhelyeink leleplezôdtek, Caldwell bizonyára vérdíjat fog kitûzni a fejünkre, és nilfgaardiak özönlik el e földeket.
say.nr101_5_lyria.153;Mindemellett égek a vágytól, hogy a büszke Meve királynôt azzal az banditával lássam vállt vállnak vetve harcolni, akit nem is oly rég még fel kívánt lógattatni...
say.nr101_5_lyria.154;Ám a börtön elhagyása közben a kompánia nehézségekbe ütközött. Amikor Meve-et nem találták a cellájában a titokban végrehajtandó kivégzésére várva, Caldwell martalócai értesítették a grófot. Aki pedig ôrjáratokat küldött ki nyomban, szerte a városba. {audio=nr101_5_lyria_patrol}A királynô és kompániája épp belefutott egy ilyen ôrjáratba...\n
say.nr101_5_lyria.156;Hogy érted ezt?
say.nr101_5_lyria.158;Üdvözöllek itthon, Anyám! Igazán örömmel tölt el, hogy látlak.
