say.nr102_1_bandit_attack_combat.1;Harci alakzatba! Védjétek a királynôt!
say.nr102_1_bandit_attack_combat.10;A csatának még nincs vége. Jobb volna tartalékolnunk az erônket, felkészülni egy mindent eldöntô, végsô csapásra.
say.nr102_1_bandit_attack_combat.11;Hahh! A Bitangok behúzott farokkal menekülnek! Hahaaa!
say.nr102_1_bandit_attack_combat.12;Majd én megtanítalak benneteket a Korona tiszteletére, kutyák!
say.nr102_1_bandit_attack_combat.13;Vigyázz! Fedezékbe! Megszórnak bennünket!
say.nr102_1_bandit_attack_combat.14;Fogadja gratulációmat eme fényes gyôzelemért, Felség. A haramiáknak esélyük sem volt.
say.nr102_1_bandit_attack_combat.15;Gyôztünk, valóban, de nem sok híja volt, hogy ott nem hagytuk a fogunkat... Nem szabad alábecsülnünk ezeket a Bitangokat.
say.nr102_1_bandit_attack_combat.2;A föld sói ôk, Felség. A tûzbe is követnék Önt. Csak kérnie kell!
say.nr102_1_bandit_attack_combat.3;Igeeen! Most már biztosra vehetô a gyôzelmünk! Fújják meg a kürtöket! Ezt a diadalt még sokáig megéneklik majd!
say.nr102_1_bandit_attack_combat.4;Rátámadni a királynôre? Ez felháborító!
say.nr102_1_bandit_attack_combat.5;Ha megengedi, kedves grófom – a tapasztalat azt mutatja, jobb megvárni egy csata legvégét.
say.nr102_1_bandit_attack_combat.6;Felség, az embereink várakoznak. Vezesse Ön a támadást.
say.nr102_1_bandit_attack_combat.7;Nézzék! Nálunk a helyzeti elôny, és ezt ôk is tudják.
say.nr102_1_bandit_attack_combat.8;Vigyázva! Lehet, hogy lesz itt néhány csapda!
say.nr102_1_bandit_attack_combat.9;Úrnôm, kíméletlennek kell lennünk, nem hagyhatjuk, hogy lélegzethez jussanak! Törje meg ôket! Zúzza ôket porrá!
text.nr102_1_bandit_attack_combat.1;Egy hagyományos csata <b>három fordulóból</b> áll. Aki elsôként nyer meg két fordulót, az az egész csatát megnyeri.
text.nr102_1_bandit_attack_combat.10;Meve <b>képessége</b> lehetôvé teszi számára, hogy <b>növelje egy egység erejét</b>, és <b>páncélzatot</b> adjon neki. A képességét néhány körönként egyszer használhatja.
