menu.nr202_1_travellers_tree.17;Betartatod a törvényt, és elütteted a katona kezét.
menu.nr202_1_travellers_tree.18;Megkegyelmezel a katonának.
menu.nr202_1_travellers_tree.2;Közelebb mész a Vándorok Bükkfájához.
menu.nr202_1_travellers_tree.3;Odaküldesz egy felderítôt.
menu.nr202_1_travellers_tree.4;Elkerülöd a Vándorok Bükkfáját.
menu.nr202_1_travellers_tree.48;Odalovagolsz a Vándorok Bükkfájához.
menu.nr202_1_travellers_tree.49;Odaküldesz egy felderítôt.
menu.nr202_1_travellers_tree.50;Elkerülöd a Vándorok Bükkfáját.
say.nr202_1_travellers_tree.10;"A mocskok nem átallották becsmérelni Felségedet! Azt mondták, hogy fülét-farkát behúzva iszkolt el Lyriából, mint valami kivert szuka!"\n\n
say.nr202_1_travellers_tree.11;Meve úgy döntött, óvatossággal közelít a helyhez. Egy közeli tisztáson vert tábort, és egy házalónak öltözött felderítôt küldött ki, hogy megvizsgálja a Vándorok Bükkfája környékét.\n\n
say.nr202_1_travellers_tree.12;Meve arra a megállapításra jutott, hogy kockázatos lenne felfedniük a helyzetüket olyan értesülésekért, amik szavahihetôsége erôsen kétséges volna. A lyriaiak tovább folytatták hát útjukat.
say.nr202_1_travellers_tree.13;"A Vándorok Bükkfája"
say.nr202_1_travellers_tree.14;"Vagy az ellenség kaphat tisztább képet a mi helyzetünkrôl"
say.nr202_1_travellers_tree.16;A ranggal és társadalmi státusszal nem törôdve Meve személyesen tudakozódott az utazóktól a legfrissebb hírek felôl. Azok aztán szûkszavúból hamar beszédessé váltak, és megosztották értesüléseiket egy tünde haramiáról, Eldainról, aztán egy Vrygheff nevezetû nilfgaardi tábornokról, aki lemészárolt egy egész falut, végül egy varázslónôrôl, aki néhány rézpénzért cserébe bármilyen betegségbôl kigyógyít.\n\n
say.nr202_1_travellers_tree.21;– szakította félbe Gascon. –
say.nr202_1_travellers_tree.22;"Kétségtelen, hogy nilfgaard kémei úgy gyûlnek ehhez a fához, mint legyek a meleg trágyára."
say.nr202_1_travellers_tree.23;A felderítô testére a Vándorok Bükkfájától néhány mérföldnyire találtak rá a lyriaiak. A holttestén egyértelmûen láthatóak voltak a gyötrelmes kínzás nyomai. Meve csak remélhette, hogy a szerencsétlen nem fedett fel mindent a fogvatartói elôtt...
say.nr202_1_travellers_tree.24;Az utazókat nem hatotta meg különösebben a magyarázat. Követelték, hogy a katona nyerje el méltó büntetését, ami az aedirni törvények értelmében annak a kéznek a levágását jelenti, amellyel a gyilkosságot elkövették.
say.nr202_1_travellers_tree.25;Nehéz szívvel bár, de Meve úgy döntött, a katona büntetést érdemel. Reynard halkan elôhúzta kardját annak hüvelyébôl.\n
say.nr202_1_travellers_tree.253;– mondta Rayla. –
say.nr202_1_travellers_tree.254;"Mindenféle utazók mesélik el itt egymásnak a velük megesetteket. Talán mi is megtudhatunk valamit az ellenségeink mozgásáról..."\n
