menu.nr211_2_renegades_fort.113;Tudom, hogy festek.
menu.nr211_2_renegades_fort.114;Te magad sem tûnsz varázslónônek.
menu.nr211_2_renegades_fort.24;Beleegyezem a feltételeidbe.
menu.nr211_2_renegades_fort.26;Meggondoltam magam.
menu.nr211_2_renegades_fort.3;Megtámadod az erôdöt.
menu.nr211_2_renegades_fort.4;Elkerülöd a haramiák búvóhelyét.
menu.nr211_2_renegades_fort.86;Megtámadod az erôdöt.
menu.nr211_2_renegades_fort.92;Elkerülöd a haramiák búvóhelyét.
say.nr211_2_renegades_fort.1;A felderítôk jelentették, hogy a haramiák, akik a falut is megtámadták, most egy, az aedirni haderô által a visszavonulásukkor kapkodva elhagyott erôdben rejtôznek.\n
say.nr211_2_renegades_fort.101;"Játszma?"
say.nr211_2_renegades_fort.103;– vakkantotta Rayla, közben azzal küszködve, hogy lenyelje a mérgét. –
say.nr211_2_renegades_fort.105;"Lemészároltak egy egész falut. Nem hagyhatjuk, hogy megússzák!"
say.nr211_2_renegades_fort.106;Újra feltûnt a láthatáron a banditák erôdje, és Meve tanácsadói arról vitatkoztak, hogy megtámadják–e, vagy sem...\n
say.nr211_2_renegades_fort.107;– káromkodott a királynô, miközben fedezéket keresett a pajzsa mögött.\n\n
say.nr211_2_renegades_fort.108;Nem kell harcolnod, ha nincs ínyedre. Több közember is tartózkodik a sorainkban, akik––
say.nr211_2_renegades_fort.109;Akik szintén kiveszik a részüket a mészárlásból. A bûn pártolása is csak bûn.
say.nr211_2_renegades_fort.110;Az én katonáim nem mészárolnak. Ôk harcolnak.
say.nr211_2_renegades_fort.111;Vagy úgy. Bocsásson meg nekem, Felség, amiért nem ismertem föl! Nem úgy fest, mint egy uralkodó... Hanem sokkal inkább úgy, mint egy zsoldos.
say.nr211_2_renegades_fort.119;Te magad sem tûnsz varázslónônek.
say.nr211_2_renegades_fort.121;Igaza van, Úrnôm... Elnézését kérem. Nem állt szándékomban megsérteni.
say.nr211_2_renegades_fort.122;Valóban nem viselek koronát. Ellopták tôlem azt, az országommal egyetemben.
say.nr211_2_renegades_fort.123;Azért küzdök, hogy visszaszerezzem, amit elvettek tôlem... És beismerem, nagy hasznát látnám egy varázslónô segítségének.
