menu.nr215_1_megascope.72;Igen, hallottam már a nevét.
menu.nr215_1_megascope.73;Nem, nem mondhatnám.
menu.nr215_1_megascope.94;Látni akartam az embert, aki másokat mészárol le Aedirnben.
menu.nr215_1_megascope.95;Hogy elmondjam, sosem adom meg magam.
menu.nr215_1_megascope.96;Kíváncsi voltam csupán, ez volt az oka.
say.nr215_1_megascope.10;Még mielôtt bárki válaszolhatott volna, az elôôrs egyik felderítôje rémülten kiáltott fel. Egy pillanattal késôbb kettéhasadt fák dôltek a földre körülöttük, és egy harminc láb magas kôóriás trappolt elô az erdôbôl.\n
say.nr215_1_megascope.100;Nemkívánatos elemek...? Élô, lélegzô emberekrôl beszél!
say.nr215_1_megascope.101;Ha történelmi távlatokból szemlélné ezt a háborút, figyelembe venné a nagyobb, földrajzi kontextusát is... Áh! Felejtse el. Amúgy is felfoghatatlan az Ön számára.
say.nr215_1_megascope.103;Hogy elmondjam, soha nem fogom megadni magam. Hogy az utolsó leheletemig küzdeni fogok.
say.nr215_1_megascope.104;Ne legyen kétsége afelôl, hogy hamarosan eljön az is. Pontosan akkor, amikor én azt úgy kívánom.
say.nr215_1_megascope.105;Mit akar ez jelenteni?
say.nr215_1_megascope.107;Csak kíváncsi voltam. Érdekelt, kivel diskurált a varázsló.
say.nr215_1_megascope.108;Kíváncsi... Milyen érdekes. Önök északiak mily egyszerûek... Mint a parányi agyú szarkák, amik mindent a fészkükre cipelnek, ami csillog...
say.nr215_1_megascope.109;Most, hogy kielégítettem a kíváncsiságát, engedje meg, hogy visszatérjek a feladataimhoz.
say.nr215_1_megascope.11;"Az istenekre..."
say.nr215_1_megascope.111;Ég Önnel, Felség... Vagy inkább a viszontlátásra. Mert hogy viszontlátjuk még egymást, errôl biztosíthatom.
say.nr215_1_megascope.113;Csönd hullt a sátorra. A királynô a még mindig lángoló csatamezô fényeitôl hunyorogva hagyta el azt... És megfogadta magának, hogy ha legközelebb újra találkozik Ardal aep Dahy fôkancellárral, amaz már egy fejjel alacsonyabb lesz.
say.nr215_1_megascope.12; – suttogta a királynô. – 
say.nr215_1_megascope.13;"Ez meg micsoda?!"\n
say.nr215_1_megascope.15;"Egy gólem..."
say.nr215_1_megascope.17;"Ezt nem tudom megerôsíteni, Felség..."
say.nr215_1_megascope.21; – súgta vissza neki Isbel. – 
say.nr215_1_megascope.22;"A nilfgaardi varázslók elôszeretettel használt szolgája."
say.nr215_1_megascope.23; – mondta Reynard. – 
say.nr215_1_megascope.24;"De valóban úgy tûnik, hogy az ellenségünk oldalán harcol."
say.nr215_1_megascope.25;Mintha csak meg akarnák erôsíteni a varázslónô állítását, nehéz fekete páncélba öltözött katonák masíroztak elô az óriás háta mögül. A vezérük, azonban, könnyû tunikát viselt,... és az ökleit különös, kéken derengô fény vette körbe.\n
say.nr215_1_megascope.26;"Dhith'en cuan aen Lyrien!"
say.nr215_1_megascope.27; – kiáltotta, kiadva a parancsot a támadásra. – 
say.nr215_1_megascope.28;"Gloir aen Ard Feain!"
say.nr215_1_megascope.4;Meve lova hátrálni kezdett, és lesunyta a füleit, láthatóan minden ok nélkül. Bízva az állat ösztöneiben Meve leugrott a nyeregbôl,... és remegést érzett a talpa alatt. A rezgés kezdetben gyenge volt, szinte alig érezhetô,... aztán egyre erôsebb és erôsebb lett.\n
say.nr215_1_megascope.40;A nyilak süvítô zápora ellen pajzsát maga elé emelô Meve utat tört magának egészen a támadást vezetô nilfgaardi varázslóig. Közelharcban a varázsigevetésnek nem sok haszna van egy jól meglendített pallos ellenében.\n
say.nr215_1_megascope.41;"Híí–áááh!"
say.nr215_1_megascope.42; – rikoltotta Meve, miközben lesújtott a kardjával. A pengéje nyaktól lefelé keresztülszelte a mágust, aki aztán a saját vérében fuldokolva a földre zuhant.\n
say.nr215_1_megascope.43;"Ti'lsoë eveigh..."
