menu.nr301_1_starting_scene.107;A Te fajtádnak mindig akad hely a seregemben.
menu.nr301_1_starting_scene.108;Eljött az ideje, hogy visszatérj Demavendhez.
menu.nr301_1_starting_scene.17;Rayla, hálás vagyok...
menu.nr301_1_starting_scene.18;A gyûrû miképp jutott Demavendhez?
menu.nr301_1_starting_scene.19;Azt hittem, gyûlölöd a másfajúakat.
menu.nr301_1_starting_scene.82;Nem kedvelsz engem különösebben, igaz?
menu.nr301_1_starting_scene.83;Jó utat, Rayla.
say.nr301_1_starting_scene.1;Én... láttam–– Ott... repült... egy sárkány––?
say.nr301_1_starting_scene.10;Részemrôl az öröm. És, mint már mondtam, hálás vagyok a vendéglátásért, de most nincs idôm lakomázni. Az uralkodóddal kell beszélnem... rögvest.
say.nr301_1_starting_scene.100;Ám legyen, Rayla. Ha neked úgy jó, mártózz meg benne a fejed búbjáig.
say.nr301_1_starting_scene.102;Meve és Rayla összeszorított ajkakkal, összeszûkült szemekkel méregették egymást még utoljára. Majd a harcos meghajolt – olyan stílusban, amit egyesek túlságosan is udvariasnak mondanának –, aztán sarkon fordult, és ellovagolt lefelé a domboldalon. Meve addig követte a tekintetével, amíg a másik nô el nem tûnt egy nagyobb hóbucka takarásában, majd erôsen megsarkantyúzta a lovát, és elvágtatott az ellenkezô irányba...
say.nr301_1_starting_scene.103;Akkor az istenek kísérjenek utadon, Rayla.
say.nr301_1_starting_scene.105;Önt is, Felség.
say.nr301_1_starting_scene.11;Embereket nem szoktunk csak úgy beengedni Mahakamba – és jó okkal. Ezért akiket átengedünk a második kapun, azoknak bekötjük a szemét,... de csak miután megváltak a fegyvereiktôl az elsô kapunál.
say.nr301_1_starting_scene.111;Elégedett vagyok, Rayla. Olyan idôket élünk, amikben nem utasíthatjuk el a segítséget,... különösen a Tiédet nem.
say.nr301_1_starting_scene.113;Megtisztel, Felség.
say.nr301_1_starting_scene.115;Induljunk hát. Rendkívül kíváncsi lettem erre a Brouver Hoog nevû elöljáróra.
say.nr301_1_starting_scene.116;Demavend az uralkodód. Vissza kell térned. Bocsáss meg.
say.nr301_1_starting_scene.118;A királyom a redániai udvarban keresett magának menedéket. Addig nem fog kilovagolni onnan, amíg be nem köszönt a tavasz. Ezáltal a kardomra sem lesz szüksége, és––
say.nr301_1_starting_scene.120;Ez egyáltalán nem számít.
say.nr301_1_starting_scene.122;Legyen. Az istenek vigyázzák a lépteit, Felség.
say.nr301_1_starting_scene.124;Rayla egy szót sem szólt, mialatt magához vette a cókmókját, és ellovagolt lefelé a domboldalon. Meve addig követte a tekintetével, amíg a másik nô el nem tûnt egy nagyobb hóbucka takarásában, majd a sereg folytatta a menetelést, a királynô pedig meggkönnyebbülést érzett, bár azt maga sem tudta, miért.
say.nr301_1_starting_scene.13;Ám Felségednél van az Ólomgyûrû, ami bizonyítja, hogy megbízható, és jó szándékkal viseltetik. Ezáltal bizonyosak lehetünk abban, hogy magunk közül valóként bánhatunk Kegyeddel...
