menu.nr301_2_meet_brouver.115;Nem, Reynard. Vesztettünk.
menu.nr301_2_meet_brouver.116;Igen. Fogunk. Muszáj.
menu.nr301_2_meet_brouver.141;Mit nem mondasz! Csupa fül vagyok.
menu.nr301_2_meet_brouver.142;Segíteni akarsz? Miért?
menu.nr301_2_meet_brouver.179;Elégséges volna?
menu.nr301_2_meet_brouver.180;Miért nem foglalkozik Brouver az üggyel?
menu.nr301_2_meet_brouver.69;Nem szoktam ahhoz, hogy félbeszakítanak.
menu.nr301_2_meet_brouver.70;Hallgasd meg a kérésemet, könyörögve kérlek!
say.nr301_2_meet_brouver.1;Nos? Mit szeretnél mondani?
say.nr301_2_meet_brouver.101;Ez meg ki a démon?!
say.nr301_2_meet_brouver.103;Reynard Odo gróf.
say.nr301_2_meet_brouver.105;Ho-hó, Odó, Lodó, Bodó! Pff – he-he-he! Most pedig figyeljetek jól, mindannyian. Nem kértünk senki segítségébôl. És tudjátok, miért? Mert nekem még megvan a méltóságom. Nem úgy, mint egyeseknek!
say.nr301_2_meet_brouver.111;Legények és leányok, kész a Tavaszi Nagytakarítás! Vége a szörnyek garázdálkodásának! Karbonhegy hazavár minket! Kövessetek!
say.nr301_2_meet_brouver.114;Felség... Egyet se féljen! Találunk másik megoldást.
say.nr301_2_meet_brouver.119;Megoldjuk majd, valóban. Bár átkozott legyek, ha tudom, hogyan. Nem maradt más, akihez fordulhatnánk, sem más ország, ahová menekülhetnénk.
say.nr301_2_meet_brouver.121;Tanácskozzunk, Felség, vegyük számba a lehetôségeinket. Ott van még Redánia, Temeria––
say.nr301_2_meet_brouver.123;Nem, Reynard. Vesztettünk. Nem maradt más, akihez fordulhatnánk, sem más ország, ahová menekülhetnénk...
say.nr301_2_meet_brouver.125;Nem egészen, Felség... Ott van még nekünk Redánia, Temeria... Erôs királyságok, amik még a segítségünkre lehetnek.
say.nr301_2_meet_brouver.127;És talán udvarról udvarra kellene vándorolnunk, a tenyerünket nyújtva, mint holmiféle koldusok teszik a szentélyek lépcsôin? Reynard, nehezen tudnám elképzelni... És, ôszintén szólva, elegem van a mega––
say.nr301_2_meet_brouver.131;Felség... Ha félrevonulhatnánk egy röpke pillanatra. Egy kis fecsegésre.
say.nr301_2_meet_brouver.133;Reynard, kérem, bocsásson meg...
say.nr301_2_meet_brouver.135;Tudom, hogy az Elöljáró nem tett túl jó elsô benyomást...
say.nr301_2_meet_brouver.137;Hahh. És a második? Vajon jobb lehet ennél?
say.nr301_2_meet_brouver.139;Hmm... Hogy megmondjam az ôszintét: nem. Én másképp próbálnék rá hatni. Nincs még minden veszve, higgye el! Brouver makacs, mint egy öszvér, semmi kétség, de egy ösztökélhetô öszvér ô. És én éppenséggel tudom is, miképp...
say.nr301_2_meet_brouver.147;Önzetlen segíteni-akarás? Nem hiszem, hogy létezne. Így hát mielôtt nekiállnál azt ecsetelni, hogy miképp lennél a segítségemre, légy oly kedves, és áruld el, miért is tennéd... Kéretlenül, ne feledd, ráadásul az Elöljáró kívánsága ellenére.
say.nr301_2_meet_brouver.149;Hogy a kérdésére kérdéssel feleljek. Tudja Felséged, Brouver Hoog mikor sétált le utoljára a hegyekbôl?
say.nr301_2_meet_brouver.151;Nem tudom. Sambouk király idejében talán?
say.nr301_2_meet_brouver.153;Leginkább semmikor. Hoog itt született, és itt is fog meghalni. Mint a legtöbb mahakami törp.
say.nr301_2_meet_brouver.155;Míg én gyakori látogató vagyok az emberek országaiban. Jártam már küldöttségben királyi udvarokban, kereskedôcéheknél, színi társulatoknál... És van szemem ahhoz, hogy lássam, miféle szarságok mennek az emberek között.
