menu.nr301_3c_gabor_confession.1;Senki sem vizsgálódott?
menu.nr301_3c_gabor_confession.100;De mégis, hogy csinálták?
menu.nr301_3c_gabor_confession.317;Megfontolás tárgyává teszem.
menu.nr301_3c_gabor_confession.318;Van bôr a képeden.
menu.nr301_3c_gabor_confession.47;Gascon, próbára teszed a türelmemet.
menu.nr301_3c_gabor_confession.48;Elismerem... Nem csak a csökönyössége miatt emlékeztetett egy öszvérre.
menu.nr301_3c_gabor_confession.99;Tényleg nem tudtad volna elejét venni a mészárlásnak?
say.nr301_3c_gabor_confession.279;Ajjaj... Ahogy Dezmond király mondta egyszer, miután a gatyájába rottyantott egy böcsületeset: ezt se söpörhetjük a szônyeg alá.
say.nr301_3c_gabor_confession.280;Ezért, hogy megállítsuk ôket, a klánom... megcselekedte a megbocsáthatatlant. A Zigrinek vénei megláttak egy kínálkozó lehetôséget, és...
say.nr301_3c_gabor_confession.281;Ez a két hely volt a Fuchs-ok, az ôsellenségeink otthona. Évszázadok óta szálka voltak a szemünkben: mindenbe beleütötték az orrukat, elvettek bármit, és akkor, amikor csak akarták... Az Elöljáró meg fikarcnyit se törôdött az egésszel.
say.nr301_3c_gabor_confession.282;Mi–– Miért? Mi az, amit el akartak rejteni mindenki elôl?
say.nr301_3c_gabor_confession.283;Az volt a feladatom, hogy biztosítsam, elpusztítja Borófenéket és a Davor–vájatot, hogy semmi nyomuk ne maradjon.
say.nr301_3c_gabor_confession.284;Hát jó, szóval, ahh... Igaz... Félrevezettem Kegyedet. A klán vénjeinek parancsára.
say.nr301_3c_gabor_confession.285;Ha azt hiszed, helye van most a tréfálkozásnak, akkor súlyos tévedésben leledzel. Igencsak kedvem lenne hívatni a hóhért.
say.nr301_3c_gabor_confession.288;Hogy én...?! Én a kisujjamat se emeltem rájuk. Valójában még próbáltam is megfékezni a klánbelijeimet!
say.nr301_3c_gabor_confession.289;Az istenekre... Tehát te vagy a felelôs azoknak a törpöknek a haláláért...?
say.nr301_3c_gabor_confession.293;Senki sem maradt életben közülük... Ami azt jelenti, hogy az egész klánt lemészároltátok. Mégis hogyan?
say.nr301_3c_gabor_confession.294;Királynô, biztos benne, hogy...?
say.nr301_3c_gabor_confession.295;Kurafik!
say.nr301_3c_gabor_confession.296;Miután végeztek a várost védô csekély számú ôrséggel, ôk... befûtöttek nekik, majd eltorlaszolták a kapukat. Amazoknak... esélyük sem volt...
say.nr301_3c_gabor_confession.297;A túlélôk Borófenékre húzódtak vissza a tél elôl. A véneink pedig úgy gondolták, hogy nem kínálkozik még egy olyan alkalom.
say.nr301_3c_gabor_confession.298;A Fuchs–ok keményen harcoltak, véres csatát vívtak azért, hogy távol tartsák a dögöket a Davor–vájattól. Majd' minden fejszét forgatni képes törpjük odaveszett közben.
say.nr301_3c_gabor_confession.299;Az éhínség elôcsalta a bestiákat az odúikból. A szorosban hömpölygött a mocskok árja, és elragadtak bárkit, akit a falakon kívül értek.
say.nr301_3c_gabor_confession.300;Sok évvel ezelôtt rettentô tél csapott le ránk. Csontroppantó fagyok, vakító fehér hóviharok, lavinák,... amik az utazást az öngyilkosság egy igazán fájdalmas válfajává változtatták.
say.nr301_3c_gabor_confession.301;...
say.nr301_3c_gabor_confession.302;Az vagyok, és jobban teszed, ha elmondasz mindent, nem megfeledkezve a legapróbb részletrôl sem.
say.nr301_3c_gabor_confession.305;Hogy lehet az, hogy ez idáig nem derült fény az igazságra?
say.nr301_3c_gabor_confession.306;Visszataszító.
say.nr301_3c_gabor_confession.307;Úgy van... De a véneink aggódni kezdtek amiatt, hogy Brouver talán megneszelt valamit. Ezért akarták, hogy Felséged megsemmisítse a tettünk összes bizonyítékát.
say.nr301_3c_gabor_confession.308;Kitaláltátok a mesét a rémségekrôl, amiket a Fuchs-ok ébresztettek fel azáltal, hogy túl mélyre találtak ásni. Egy igazán lebilincselô mese, aminek ráadásul még tanulsága is van.
say.nr301_3c_gabor_confession.309;A Zigrinek, kik onnan visszatértek, többé már nem azok voltak, akik régen. Ha látta volna a tekintetüket, amikor megfogadtatták velünk, hogy a sírig hallgatunk a történtekrôl... Aztán...
say.nr301_3c_gabor_confession.310;Amint az egésznek vége lett, a törpjeink kinyitották a kapukat. Ám még mielôtt rágyújthattak volna a pipájukra, bestiák hordái özönlöttek elô a szurdokból – odavonzotta ôket a halott hús szaga...
say.nr301_3c_gabor_confession.312;Azt állítod, hogy nem volt részed benne... Ám nem is tettél semmit annak érdekében, hogy megakadályozd.
say.nr301_3c_gabor_confession.313;Meve... Királynô... Könyörögve kérem,... az Elöljáró nem tudhatja meg az igazat! Nekem is turhát kell köpnöm, ha arra gondolok, amit a véneink tettek, de ha felfedi a történteket, azzal csak még több fájdalmat és halált hoz ránk.
say.nr301_3c_gabor_confession.314;Hogy ô? A bûnösöket? Nem ismeri Brouvert... Megbüntette volna az egész klánt: minden nôt, gyereket... Kivétel nélkül!
say.nr301_3c_gabor_confession.315;Talán ha tájékoztattad volna az Elöljárót. Akkor megbüntették volna a bûnösöket.
say.nr301_3c_gabor_confession.316;Mit kellett volna tennem? A vének döntöttek, egy törp se hallgatott volna énrám!
say.nr301_3c_gabor_confession.322;Nem mondom, van bôr a képeden, hogy kérni mersz, miután hazudtál nekem...
