menu.nr301_4b_scoiatael_ambush.78;Bánom, ami a Mállóerdôben történt. Ami a tündékkel történt.
menu.nr301_4b_scoiatael_ambush.79;Eldain egy bûnözô elem volt.
say.nr301_4b_scoiatael_ambush.1;A törpök rengeteg területen adták bizonyságát újító gondolkodásuknak, vegyük csak a kohászatot, a mérnöki teljesítményeiket, vagy az építészetüket... Ám volt egyetlen egy terület, amit elhanyagoltak, minden más kárára. Ez pedig a névadás területe volt. Ezért például a Mahakam-hegyszorost Karbonheggyel összekötô hidat egész egyszerûen csak Hosszúhídnak hívták.\n\n
say.nr301_4b_scoiatael_ambush.101;Én aztán nem. A fejedre estél talán, tünde? He? Ha harcolni akarsz az emberekkel, hát menj, és csináld! De ne itt, a fenébe is! Idióták józan eszére nem hathatsz. Mahakam semleges – az volt, és az is marad!
say.nr301_4b_scoiatael_ambush.103;Nem lehetsz semleges. A dhoine–oknak vagy az ellensége vagy, vagy az ölebük!
say.nr301_4b_scoiatael_ambush.105;Mahakam túl sokáig aludt, túl sokáig volt tétlen. Ezért is csaptunk le rá a szívében. Hogy csatába szólítsunk benneteket, szólítsuk a testvéreinket, akiket te, Elöljáró, túlságosan is sokáig tartottál elzárva a világtól.
say.nr301_4b_scoiatael_ambush.107;Úgy van, elzártam ôket! És milyen jól tettem! Háborúsdit akartok játszani, ti agyalágyultak? Talán a Pontárt is kényszerítenétek, hogy forrás iránt folyjon eztán? Megpróbálhatjátok. Szép próbálkozás lenne, én azt mondom! Menjetek, és gyilkoljatok vagy haljatok, ha úgy tetszik! Bánom is én. De az istenek verjenek meg, hagyjatok minket békében!
say.nr301_4b_scoiatael_ambush.109;Eh... Meg kellene hogy öljelek. A két kezemmel. El kellene vágnom a torkodat, csak hogy megszabadítsalak a szenvedésedtôl. Ezt akarod, igaz-e? Meghalni! Ostoba halált halni!
say.nr301_4b_scoiatael_ambush.111;Nos, nem adom ezt meg neked. De nem ám! Ehelyett bezáratlak majd egy toronyba. És ott felejtelek három évszázadra, hátha közben sikerül agyat növesztened magadnak!
say.nr301_4b_scoiatael_ambush.114;Brouver Hoog a megláncolt tünde után bámult, miközben azt elvezették az ôrök. Meve arra számított, hogy az Elöljáró folytatja majd az ô szapulását és a káromkodást. Ám ehelyett a törp csak állt némán. És vénséges szemeibôl, amiket félig eltakartak a bozótoshoz hasonlóan sûrû szemöldökei, nem harag sugárzott, hanem a legmélyebb bánat.\n\n
say.nr301_4b_scoiatael_ambush.116;A törp mérnökök gyors javítást végeztek az épp hogy darabjaira nem hulló híd felépítményén.
say.nr301_4b_scoiatael_ambush.2;A királynô és kísérete Karbonhegyhez közeledett, amikor Meve egy kiáltást hallott. Xavier volt az:\n
say.nr301_4b_scoiatael_ambush.3;Mint Meve megállapíthatta, valóban találó volt az elnevezés. Amikor egy szusszanásnyira megállt félúton a mély szakadék fölé kifeszített átkelôn, a királynô nem látta a híd egyik végét sem, mert hogy azok sûrû felhôkbe burkolóztak.\n
say.nr301_4b_scoiatael_ambush.31;"Megááállj! Netovááább!"\n\n
