menu.nr301_5_mahakam.131;Nem leszek senki eszköze – sem Elöljáró uramé, sem senki másé.
menu.nr301_5_mahakam.132;Bizonyára kieszelt valami tervet.
menu.nr301_5_mahakam.234;Ki van zárva.
menu.nr301_5_mahakam.235;Legyen hát. Beleegyezem.
menu.nr301_5_mahakam.303;Számodra talán így tûnhet, de vannak szövetségeseim, nem is kevesen.
menu.nr301_5_mahakam.304;Még egyedül szembeszállni is jobb, mint Nilfgaard oldalán.
menu.nr301_5_mahakam.803;Honnan tudtad, hogy itt vagyok?
menu.nr301_5_mahakam.804;Hallottál arról, hogy a nilfgaardiak megpróbáltak megölni?
say.nr301_5_mahakam.116;A lyriaiak bemerészkedtek Karbonhegy mélyébe. Meve felfelé tekintgetve léptetett, megcsodálta a mûvészien faragott, arannyal futtatott mennyezetet és falakat, a bazaltból kifaragott, gigászi méretû dombormûveket. De nem most volt itt az ideje az álmélkodásnak. Brouver Hoog hívatta kihallgatásra.
say.nr301_5_mahakam.117;Köszönetemet szeretném kifejezni a meghívásért, Elöljáró...
say.nr301_5_mahakam.119;A meghívásért? Érdekes szóhasználat, Leány! Bezsonglôrködted magad ide! Sok-sok esztendôt megéltem már, de még egy olyan csökönyös némberrel, mint Te, nem találkoztam.
say.nr301_5_mahakam.121;Tisztelettel, de mintha bagoly beszélgetne verébbel.
say.nr301_5_mahakam.123;Hah! Az már szent igaz, hogy nem egykönnyen másítom meg a döntésemet. De... néhanapján megesik.
say.nr301_5_mahakam.125;Egyáltalán nem érdekelnek az emberek csip-csup kis háborúi. Amikbôl annyi volt már, mint égen a csillag. Nem telik el úgy év, hogy valami kielégítetlen kiskirály neki ne menne egy másik országának. A rühes kutya is kevésbé izgága, mint ti vagytok!
say.nr301_5_mahakam.127;Ezért is szándékoztalak üres kézzel szélnek ereszteni ma reggel – függetlenül attól, amit a klánok vénei mondanak. Rívia, Rímia,... Ki nem szarja le? De az reggel volt. Még az elôtt, hogy az az együgyû némber és a kutyuskái ránk támadtak volna.
say.nr301_5_mahakam.129;Nilfgaard támogatja a Scoia’taelt – ez köztudott. Nilfgaard kihasználja ôket. Ám én sem vagyok jobb, mert én meg Meve királynôt szándékozom kihasználni.
say.nr301_5_mahakam.136;Nem leszek senki eszköze, Brouver. Semmi másért nem küzdök, csak a saját földjeimért, Lyriáért és Ríviáért.
say.nr301_5_mahakam.138;Ó, ne aggódj... Felôlem akár a déli ültetvények kényszermunkásainak szabadságáért is küzdhetsz. Engem az sem érdekel. A támogatásom feltétel nélküli.
say.nr301_5_mahakam.140;Akkor mégis mi hasznomat venné, ha szabad megtudnom? Van valami terve?
say.nr301_5_mahakam.142;Úgy ám! Törpökhöz leginkább illô – azaz egyszerû, de ravasz.
say.nr301_5_mahakam.146;Szeretnél Nilfgaard orrára koppintani? Ha felhergeled a törpjeimet, és megtámadod velük a Scoia'taelt, azt megkeserülöd. Értem? Azt szeretném, ha anélkül figyelmeztetnéd a Feketéket, hogy háborút hirdetnél ellenük. Eddig világos?
say.nr301_5_mahakam.148;Ezért tehát, amikor majd kimasírozol innét, a kapun túl ott vár rád egy törp gyalogsági különítmény. A hivatalos változat szerint önkéntesek, akik az akaratom ellenére csatlakoztak hozzád.
say.nr301_5_mahakam.150;És legközelebb, amikor Nilfgaarddal találkozol, ôket állítod elôre. Azt akarom, hogy a Feketék foga beletörjön a pajzsainkba, hogy megízleljék a fejszéink élét... Ezután, merem állítani, kétszer is meggondolják majd, hogy a hegyeink közé küldjék a Scoia'taelt.
say.nr301_5_mahakam.152;Én... nem... Köszönet, Elöljáró! Újra él bennem a remény, hogy egy napon visszakaphatom majd az otthonom.
say.nr301_5_mahakam.174;Ôszintén? A helyedben nem reménykednék túlságosan. Figyeltelek. Naiv vagy, hagyod, hogy elragadjon az indulat, olyan dolgokba ütöd bele az orrodat, amik nem tartoznak rád, nem tiszteled a hagyományainkat. De,... hogy gyôzöl-e vagy sem, számomra teljesen mindegy.
say.nr301_5_mahakam.176;Akkor csak azt remélem, hogy talán még meglephetem.
say.nr301_5_mahakam.178;A hit hegyeket mozgat meg, úgy igaz... Ám nem sokat tehet a határokkal szemben. Beismerem, árgus szemekkel figyeltem minden lépésedet, és bizony merész vagy, te Leány. De hogy ez elegendô volna-e Nilfgaarddal szemben? Ki tudhatja?
say.nr301_5_mahakam.180;Meglátjuk. Hamarosan megtudjuk.
say.nr301_5_mahakam.182;Hah... Egy héttel ennek elôtte még jól kiröhögtelek volna. De teringettét, merész egy nôszemély vagy Te. És van hozzá sütnivalód! Így magad mellé édesgetni a klánokat... Nem kis teljesítmény.
say.nr301_5_mahakam.184;Úgy lesz, majd meglátja. Még mielôtt véget ér az év. Szavamat adom.
