menu.nr313_2_precious_tokens.103;Bemész a barlangba.
menu.nr313_2_precious_tokens.104;Visszafordulsz.
menu.nr313_2_precious_tokens.2;Bemész a barlangba.
menu.nr313_2_precious_tokens.3;Meghátrálsz.
menu.nr313_2_precious_tokens.44;Akkor hát mihez kezdjek ezzel a sok tantusszal?
menu.nr313_2_precious_tokens.45;Tehát az átlag törp nem fizet arannyal?
menu.nr313_2_precious_tokens.80;Aranyra cseréljük a tantuszokat.
menu.nr313_2_precious_tokens.81;Legyen. Lakomát rendezünk.
say.nr313_2_precious_tokens.1;A Gábor által hallott pletykák igaznak bizonyultak. A felderítôk azzal a hírekkel érkeztek vissza, hogy ráleltek egy barlangra, aminek a szája elôtt elkorhadt deszkák hevernek – ami annak a jele is lehet, hogy valami nagyon súlyosat csúsztattak be az üregbe,... például aranyakkal teli ládákat. Viszont a mellettük található mancsnyomok alapján úgy vélték, feltehetôleg szörnyek vertek tanyát odabent.\n
say.nr313_2_precious_tokens.112;A királynô a kincs megszállottja lett, ez mindenki számára nyilvánvalóvá vált, amikor újfent a barlang bejárata elôtt találták magukat...
say.nr313_2_precious_tokens.19;Miután az utolsó bestia is elhullott, a lyriaiak a kincs keresésére indultak. A katonák bevették magukat az oldaljáratokba, és hanyatt-homlok tûvé tettek minden sarkot a kincs után. Végül egyikük felkiáltott:\n
say.nr313_2_precious_tokens.21;"Megvan! Megvan a kincs! Épp itt, ni! A kincs! Csillogó holmik!"\n\n
say.nr313_2_precious_tokens.23;"Rendben, ideje dönteni – bemegyünk, vagy vissza leballagunk"
say.nr313_2_precious_tokens.249;"Töltsetek újabb kört, ti kedves lyriai kurafik, hahahaha!"\n
say.nr313_2_precious_tokens.25;– mondta Gascon, és közben összedörzsölte a kezeit egy kis melegség reményében. –
say.nr313_2_precious_tokens.251;"Mert ôôô egy vidám fick–– ó, elnézést! Egy vidám törp!"
