menu.nr408_1_witcher_village.102;Közönséges piócák és kullancsok? Miért aggódnánk?
menu.nr408_1_witcher_village.103;Gernichora micsoda is valójában?
menu.nr408_1_witcher_village.144;Mi a helyzet veled? Véget ért a vadászatod?
menu.nr408_1_witcher_village.145;Hogyan gyôzhetem le? Lenne valami tanácsod?
menu.nr408_1_witcher_village.16;Átkutatod a falut.
menu.nr408_1_witcher_village.17;Továbbmész.
menu.nr408_1_witcher_village.18;Átkutatod a falut.
menu.nr408_1_witcher_village.19;Továbbmész.
menu.nr408_1_witcher_village.67;Mit tudsz errôl a bestiáról?
menu.nr408_1_witcher_village.68;A szerzôdés fejében ki ajánlhatott pénzt?
say.nr408_1_witcher_village.100;Bölcsen tennék, ha távol tartanák magukat tôlük.
say.nr408_1_witcher_village.106;Ez a Gernichora... micsoda ô... valójában?
say.nr408_1_witcher_village.108;Az attól függ, kit kérdez róla. A tündék egy bukott istennôt láttak benne. Nem sikerült végezniük vele, amíg itt éltek, viszont sikerült gátat szabniuk a növekedésének, annak, hogy erôsebbé váljon.
say.nr408_1_witcher_village.110;A helyi embernépek azt tartják, hogy egy elátkozott hercegnô szelleme ô. Mélyen gyökerezô hiedelem az övék.
say.nr408_1_witcher_village.112;Kifejtenéd?
say.nr408_1_witcher_village.114;Úgy mesélik, Észak felé tartott, hogy feleségül menjen egy temeriai herceghez. Az egész kísérete, a teljes karaván eltévedt. A szekerek elakadtak, mindenki belefulladt a mocsárba, elnyelte ôket a futóhomok, ilyesmik.
say.nr408_1_witcher_village.116;Gernichora megragadott egy gyökeret, mielôtt az ingovány elnyelhette volna egészen. Órákon át kiabált, de nem volt, ki meghallhatta volna. Piócák százai lepték el a testét, és királyi lakomát csaptak... Szárazra szívták, az utolsó csepp vérétôl is megfosztották.
say.nr408_1_witcher_village.118;Félelem és gyûlölet lett úrrá a lelkén, így az nem léphetett át a túlvilágra. Ezért hát visszatért,... az Ysgith mágiája által életre keltve.
say.nr408_1_witcher_village.120;Uhh. Hátborzongató történet.
say.nr408_1_witcher_village.122;Igen, de valószínûleg csak kitaláció. A tündék legendájának sem hiszek. Gernichora egy szörny, ilyen egyszerû az egész. Rendkívül veszedelmes, nyilván – de csak egy szörny.
say.nr408_1_witcher_village.125;A piócák és kullancsok... Azt mondod, azok az ô gyümölcsei?
say.nr408_1_witcher_village.127;Ez kissé bonyolult.
say.nr408_1_witcher_village.129;Van idônk.
say.nr408_1_witcher_village.131;Hmm... Gernichora kicsit olyan, mint a vámpírok, lényegében hasonszôrû teremtmények. Egy kis különbséggel: ahelyett, hogy ô maga táplálkozna másokból, hagyja, hogy a kreatúrái belôle táplálkozzanak.
say.nr408_1_witcher_village.133;Nem biztos, hogy értem...
say.nr408_1_witcher_village.135;Paraziták, igaz? A saját testére helyezi és a vérével táplálja ôket... Majd felaggatja a bokrokra és fákra azokat.
say.nr408_1_witcher_village.136;Ó... És mi végre?
say.nr408_1_witcher_village.138;Csemegéül, más szörnyek számára. Édesek, szaftosak, teli Gernichora vérével. Ellenállhatatlanok. Bármely szörny, amely megízleli, eszét veszti, és Gernichora rabszolgájává válik.
say.nr408_1_witcher_village.14;Meve megint a titokzatos falu határában állt. Azon gondolkodott, vajon belépje-e...
say.nr408_1_witcher_village.140;Ezért... ha az útjaik keresztezik egymást, és magukra találják haragítani, nem lesz majd egyedül. Az egész átkozott mocsárral lesznek kénytelenek megküzdeni.
say.nr408_1_witcher_village.146;Hmm... Hogyan szállhatunk vele szembe? Miképp végezhetünk vele?
say.nr408_1_witcher_village.148;Bocsásson meg, de nem szoktuk a titkainkat megosztani másokkal.
say.nr408_1_witcher_village.149;Még azokkal sem, akik épp az imént mentették meg a bôrödet?
say.nr408_1_witcher_village.151;...
say.nr408_1_witcher_village.153;Várjanak addig, amíg nekiáll etetni a parazitákat. Akkor a legsebezhetôbb. Akkor talán lesz esélyük ártani neki.
say.nr408_1_witcher_village.156;És te? Nem vadászol rá tovább?
say.nr408_1_witcher_village.158;Ó, dehogyis nem. Csak jobban fel kell készülnöm. Ez ma bizonyossá vált. Fôzeteket és fegyverolajakat kell kotyvasztanom... Pár nap múlva visszatérek.
