menu.nr411_1_heart_of_darkness.132;Dörömbölsz a kapun.
menu.nr411_1_heart_of_darkness.133;Visszavonulsz.
menu.nr411_1_heart_of_darkness.34;Elfogadod a meghívást, és fogadalmat teszel.
menu.nr411_1_heart_of_darkness.35;Elvezeted a seregedet Gerwin erôdjétôl.
menu.nr411_1_heart_of_darkness.4;Dörömbölsz a kapun.
menu.nr411_1_heart_of_darkness.5;Visszavonulsz.
menu.nr411_1_heart_of_darkness.74;Kiszabadítod a parasztokat.
menu.nr411_1_heart_of_darkness.75;Tiszteletben tartod a fogadalmadat, és nem avatkozol bele.
say.nr411_1_heart_of_darkness.1;Angrenben minden az enyészeté lesz, legyen az halott, vagy épp nagyon is élô. A korhadás pusztítja a fákat, a sebekbe beszivárgó rothadás kínozza az állatokat, és az egész lápot áthatja a bomlás édeskés, fanyar, fojtogató bûze.\n\n
say.nr411_1_heart_of_darkness.107;Bár sánta volt, Gerwin zsoldos is volt egykoron. Keményen harcolt, jól küzdött,... mégsem lehetett ellenfél Meve számára.{audio=nr411_1_heart_of_darkness_gerwin_dies} Miután kiütötte a kezébôl a fejszéjét, a férfi térdre hullt, és a királynô egy suhintással a fejét vette. Az úgy gurult el a földön, mint egy tök, majd megállt az egyik paraszt lábai elôtt.\n
say.nr411_1_heart_of_darkness.109;"Mostantól szabadok vagytok"
say.nr411_1_heart_of_darkness.111;– zihálta Meve, és letörölte a kardja pengéjét. –
say.nr411_1_heart_of_darkness.113;"Mégsem lesz nyugtotok. Nilfgaard elért Angrenig, a Feketék is megérkeznek hamarosan. Mindaddig, amíg az Aranyló Napkorong ragyog a mocsárvidék fölött, keressetek menedéket az erdôkben!"
say.nr411_1_heart_of_darkness.115;Meve serege hajnal elôtt hagyta el az erôdöt. A királynô a menetoszlop élén lovagolt, összezárt ajkakkal, összeszorított állkapoccsal... Folt esett a becsületén – megszegte az adott szavát. Ez a bestia, a többivel ellentétben, belülrôl marcangolta.
say.nr411_1_heart_of_darkness.118;"Kinek a lobogója van kitûzve rá? Kiét láttátok?"
say.nr411_1_heart_of_darkness.119;– tudakolta a királynô.\n
