menu.nr501_3_battle_for_rivia.109;Ostromba kezdesz, körülzárod Rívia várát.
menu.nr501_3_battle_for_rivia.110;Visszavonulsz.
menu.nr501_3_battle_for_rivia.111;Ostromba kezdesz, körülzárod a várat.
menu.nr501_3_battle_for_rivia.112;Visszavonulsz.
menu.nr501_3_battle_for_rivia.155;Térjen a tárgyra! Mit akar?
menu.nr501_3_battle_for_rivia.156;Nem tûröm, hogy sértegessen. Nem tud megfélemlíteni.
menu.nr501_3_battle_for_rivia.160;Közösüljön saját magával!
menu.nr501_3_battle_for_rivia.232;Reynard vezesse a támadást a csónakkikötô ellen.
menu.nr501_3_battle_for_rivia.233;Gascon a legalkalmasabb ember a feladatra.
menu.nr501_3_battle_for_rivia.30;Ôrültség. Lehetetlen.
menu.nr501_3_battle_for_rivia.31;De milyen áron?
say.nr501_3_battle_for_rivia.1;Meg sem várva aep Dahy tábornok replikázását Meve sarkon fordult, és elindult a tábor irányába. Bár nagy súllyal telepedett rá az iménti beszélgetés, fürgén haladt visszafelé...
say.nr501_3_battle_for_rivia.1064;A jó mindenségit! Miért nem figyelmeztetett senki?!
say.nr501_3_battle_for_rivia.1065;A felderítôink valószínûleg leleplezôdtek, és elfogták ôket...
say.nr501_3_battle_for_rivia.1069;Azon az éjszakán megfordult a háború menete, a Rívia váráért vívott ütközet volt a fordulópont. Meve nagy gyôzelme – ami során nem csak hogy egyetlen éj alatt visszavette az erôdítményt, de elejét vette egy újabb megszálló sereg támadásának – bizonyította, hogy a nilfgaardi kolosszus lábai csak agyagból voltak.
say.nr501_3_battle_for_rivia.107;Meve visszatért Rívia várához. A csapatai feszült csendben várták a parancsait.
say.nr501_3_battle_for_rivia.11;– szólalt meg Reynard biztatónak szánt hangon, –
say.nr501_3_battle_for_rivia.115;"Aep Dahy várhat"
say.nr501_3_battle_for_rivia.116;– mondta Meve a fellegvárat fürkészve. –
say.nr501_3_battle_for_rivia.118;"Hadd nézze végig a falakról, ahogy faluról falura, városról városra foglaljuk vissza a királyságunkat. Utánam!"\n\n
say.nr501_3_battle_for_rivia.12;Reynard érvelése észszerûnek tûnt. Valóban nem volt okuk a sietségre. A háború során elôször végre Meve került fölénybe.
say.nr501_3_battle_for_rivia.120;Meve hátat fordított a várnak, égve a vágytól, hogy valahol másutt bocsátkozhasson harcba...
say.nr501_3_battle_for_rivia.121;"Úgy látom, a megszállóink nagyon megkedvelték Rívia várát"
say.nr501_3_battle_for_rivia.123;– mondta Meve. –
say.nr501_3_battle_for_rivia.125;"Ezért hát maradjanak, és rohadjanak is benn. Reynard! Emeljenek barikádokat az utakon, és állítsanak ôrhelyeket a város és a fellegvár között. Gascon, foglalj le minden csónakot, dereglyét,... mindent, ami úszni tud a vízen – tégy róla, hogy a tó felôl senki be ne tehesse oda a lábát. Gyerünk!"\n\n
say.nr501_3_battle_for_rivia.127;Hamarosan Rívia vára teljesen elszigetelôdött a falain túli külvilágtól. Minden hozzá vezetô utat lezártak, járhatatlanná tettek. A Eskalott tavon halászcsónakok gyûrûjébôl alkotott kordon ölelte körül, és a lélekvesztôk lámpásai úgy ragyogtak körülötte, mint szentjánosbogarak a nyári estéken.
say.nr501_3_battle_for_rivia.128;A blokád felállítása után nem sokkal egy követ érkezett a királynôhöz egy üzenettel. Aep Dahy tábornok találkozni kívánt, szemtôl szemben, félúton a fellegvár és a lyriaiak tábora között.\n
say.nr501_3_battle_for_rivia.130;"Nahát-nahát, miféle tábornok az ilyen..."
say.nr501_3_battle_for_rivia.132;– vigyorgott Gascon. –
say.nr501_3_battle_for_rivia.134;"Épp csak hogy bezárult körülötte a kelepce, és máris tele van a gatyája."
say.nr501_3_battle_for_rivia.136;Meve késlekedés nélkül az említett találkozóhelyre sietett. Egy magányos lovas tûnt fel a látóhatáron. Az alak gazdagon díszített fekete öltözéket viselt, a nap sugarai meg-megcsillantak a ruhaköltemény arany paszomántjain. Már látta ôt korábban, még Aedirnben, a megaszkópon keresztül...
say.nr501_3_battle_for_rivia.138;Eljött, ahogy kértem. Helyes. Nagyon helyes.
say.nr501_3_battle_for_rivia.140;Nem utasíthattam el egy ilyen udvarias meghívást. Különösen a korábbi levele fényében nem... Kezd ráérezni a diplomácia mûvészetére.
say.nr501_3_battle_for_rivia.141;De kérem,... tegyük félre a korábbi sérelmeket. Szeretném hivatalosan is üdvözölni Ríviába, kedves Királynô.
say.nr501_3_battle_for_rivia.143;Úgy látom, máris átvette a szívélyes házigazda szerepét – az én otthonomban.
say.nr501_3_battle_for_rivia.145;Tulajdonképp egészen megkedveltem a várat. Az Északra kevéssé jellemzô, lenyûgözô erôdítéseit... A bátor katonáit már kevésbé. Akik, egyébként, meglehetôsen könnyû ellenfélnek bizonyultak. Voltaképp szánom ôket.
say.nr501_3_battle_for_rivia.147;Itassa fel a könnyeit, Tábornok. Megnyugodhat, nem tervezem azonnal lerohanni. Elôbb megvárom, amíg korogni kezd a gyomruk.
say.nr501_3_battle_for_rivia.149;Elképesztô! Ön tényleg abban a tévhitben él, hogy megnyerheti ezt a háborút.
say.nr501_3_battle_for_rivia.151;Nem vagyok régóta Északon, de ennyi idô alatt is rájöttem már valamire. Hogy képtelen a magasabb eszmék befogadására. Mint tudja, Nilfgaard hatalmas, de az Ön elméje számára felfoghatatlan a valódi nagysága.
say.nr501_3_battle_for_rivia.153;Holnapra ideérnek. És tudja, mi fog történni akkor? Úgy passzírozzák majd szét a saját vára falain, mint valami idegesítô kis bogarat.
say.nr501_3_battle_for_rivia.161;Kedves kis hasonlat... De térjen inkább a lényegre. Miért kérte ezt a találkozót?
say.nr501_3_battle_for_rivia.163;Nem másért, mint hogy a saját szememmel is láthassam Önt.
say.nr501_3_battle_for_rivia.165;Tán nem látott elég jól Aedirnben? Talán ekkora csodálója volna a nôi szépségnek?
say.nr501_3_battle_for_rivia.167;Hízelegjen csak önmagának... Nem. Én Önben egy állatot látok – egy vadat, egy prédát. És mert hamarosan elkezdôdik a vadászat, pontosabb képet szerettem volna kapni az ûzendô vadról.
say.nr501_3_battle_for_rivia.169;Ön? Egy vadászaton? Azok a finom kezek még sosem fogtak lándzsát vagy íjat. Felteszem, semmit, ami egy levélkésnél élesebb.
say.nr501_3_battle_for_rivia.17;"nem kell elsietnünk a támadást, az idô nekünk dolgozik. Bölcs dolog lenne felkészülnünk. Két hónap, úgy vélem, elegendô volna rá. Ha elvágjuk az ellátmányok útját, hamarosan megadják magukat, efelôl semmi kétségem. Vagy legalábbis legyengülnek annyira, hogy aztán ne tudják tartani a várat."\n\n
say.nr501_3_battle_for_rivia.171;Holnap nem vadászatra indul, hanem háborúba. És imádkozzon az összes istenéhez, hogy ne leljen rám.
say.nr501_3_battle_for_rivia.174;Ebbôl elég! Nem tûröm, hogy sértegessen, Tábornok. Nem tud megfélemlíteni.
say.nr501_3_battle_for_rivia.176;Ez esetben kellemes estét kívánok Felségednek. Pihenje ki magát... Szüksége lesz rá holnap.
say.nr501_3_battle_for_rivia.178;Valóban. Mert hogy Önnel ellentétben én a seregem élén fogok küzdeni, felnyitott sisakrostéllyal.
say.nr501_3_battle_for_rivia.18;A királysága hamar elbukott. Kevés erôfeszítésembe került csupán, hogy elfoglaljam. Ezáltal rengeteg idôm maradt a tanulásra.
say.nr501_3_battle_for_rivia.180;Az én hazámban, a civilizált világban, a tábornok a seregeinek parancsol. Nem pedig elôrerohan és tör-zúz, mint valami veszett kutya.
say.nr501_3_battle_for_rivia.182;De most nem otthon van, Tábornok. Északon van – az én otthonomban.
say.nr501_3_battle_for_rivia.184;Ám igaza van. Nyugovóra térek. Ön pedig imádkozzon az isteneihez, hogy ne kerüljünk egymással szemtôl szembe a küzdelemben.
say.nr501_3_battle_for_rivia.186;Közösüljön saját magával, nilfgaardi mocsadék!
say.nr501_3_battle_for_rivia.188;Elbûvölô... Ez minden, amit mondani kíván?
say.nr501_3_battle_for_rivia.190;Jobb szeretem, ha szavak helyett a tettek beszélnek. Holnap Ön is meglátja majd.
say.nr501_3_battle_for_rivia.192;Ez eléggé valószínûtlen. Valójában kétlem, hogy egyáltalán eljut a falakig.
say.nr501_3_battle_for_rivia.194;Imádkozzon, hogy így legyen. Mert ha megtalálom a küzdelemben, a két kezemmel fogom megfojtani.
say.nr501_3_battle_for_rivia.197;Rívia falai bevehetetlenek, egyetértek... De egy erôd bevételének több módja is lehet, és ez egy erôd is egyben.
say.nr501_3_battle_for_rivia.199;Azt hiszem, tetszik, amire ki akar ezzel lyukadni...
say.nr501_3_battle_for_rivia.2;Meve tanácsadói már a parancsnoki sátorban vártak rá. Mialatt a királynô néhány szóban elôadta a találkozón történteket, csak nagy nehézségek árán sikerült palástolnia a hangjában megbúvó remegést...
say.nr501_3_battle_for_rivia.20;A táborba visszaérve Meve azonnal hívatta a tanácsadóit. Mint kiderült, aep Dahy nem hazudott...
say.nr501_3_battle_for_rivia.201;Mindenkinél jobban ismerem a fellegvárat. Tudok az egyetlen lehetséges gyenge pontjáról: a csónakkikötôrôl.
say.nr501_3_battle_for_rivia.203;Várjon...! Arra a keskeny csatornára gondol a két torony között? Ahol a halászok szoktak bejutni?
say.nr501_3_battle_for_rivia.205;Igen, arra. Mint bizonyára Ön is tudja, Felség, annak a keskeny csatornának a legvégén egy keskeny ajtó áll, ami egyenesen az erôdítménybe vezet.
say.nr501_3_battle_for_rivia.207;Egy kisebb különítmény észrevétlenül megközelíthetné, ártalmatlanná tehetné az ôröket, és bejuthatna.
say.nr501_3_battle_for_rivia.209;És azután?
say.nr501_3_battle_for_rivia.21;Egy hatalmas sereg közeledik nyugat felôl. Ha nyílt ütközetre kerül sor, esélyünk sem lesz.
say.nr501_3_battle_for_rivia.210;Át kellene jutniuk az egész erôdön, egészen a kapuházban található csörlôkig, hogy aztán kinyithassák a kaput a sereg többi részének.
say.nr501_3_battle_for_rivia.212;Reynard... Ôszinte leszek. Ez egyenesen ôrültségnek hangzik.
say.nr501_3_battle_for_rivia.214;Meglehet. De ami a lehetôségeinket illeti, csak ez az egy maradt.
