menu.nr501_4_epilogue_intro.110;Igaza van, Reynard. Köszönöm.
menu.nr501_4_epilogue_intro.111;Villem halála az én lelkemen szárad.
menu.nr501_4_epilogue_intro.140;Igaza van, Reynard. Köszönöm Önnek.
menu.nr501_4_epilogue_intro.141;Ezt az ajándékot nem fogadhatom el.
menu.nr501_4_epilogue_intro.56;Igazad van... Köszönöm.
menu.nr501_4_epilogue_intro.57;A halál sohasem szép.
say.nr501_4_epilogue_intro.1;A Rívia váráért vívott ütközettel valóban megfordult a háború menete. Meve elfoglalt egy bevehetetlen erôdítményt, és visszavert egy másik támadó sereget... Mindezt egyetlen éjszaka leforgása alatt. Ezzel megmutatta honfitársainak és Észak népeinek, hogy a Nilfgaard nevû kolosszus csak agyaglábakon áll.
say.nr501_4_epilogue_intro.100;Reynard... Épp csak hogy eltemettem a fiamat. Aki a karjaimban halt meg. Az istenek legyenek átkozottak.
say.nr501_4_epilogue_intro.102;Igen. Hôsként halt meg.
say.nr501_4_epilogue_intro.104;Felség... Nem voltam benne biztos, hogy Villem valaha lemoshatja magáról a szégyent. Elárulta a hazáját, az anyját... Összeállt a legádázabb ellenségünkkel...
say.nr501_4_epilogue_intro.106;De azzal, amit Ríviában tett, minden bûne alól feloldozást nyert. Villem méltónak bizonyult arra, hogy a fia lehetett.
say.nr501_4_epilogue_intro.108;Nem azért mondom mindezt, hogy gyászát még jobban tetézzem, Felség. Csupán azért, hogy tudja, büszke lehet rá.
say.nr501_4_epilogue_intro.114;Igaza van. Köszönöm Önnek, Reynard... Szükségem volt arra, hogy ezt halljam.
say.nr501_4_epilogue_intro.116;Tudja, miért halt meg Villem?
say.nr501_4_epilogue_intro.118;Mert kinyitotta nekünk a kaput, és––
say.nr501_4_epilogue_intro.12;Bár Meve sikerrel hódította vissza királyságait, a kardját még nem szándékozott szögre akasztani. Ugyanis Demavend király kérte, hogy segítsen Aedirnbôl is kiûzni a megmaradt megszállókat.
say.nr501_4_epilogue_intro.120;Azért halt meg, mert mellôztem ôt, elhanyagoltam ôt. Ezért is árult el engem – és ezért maradt a kastélyban az ellenségeinkkel.
say.nr501_4_epilogue_intro.122;Érdemessé vált arra, hogy fiamnak nevezzem... Én... én csak azt nem tudom, hogy én érdemes vagyok-e rá, hogy az anyjának nevezzem magam.
say.nr501_4_epilogue_intro.126;Hmm... Gyakran gondolok arra a ríviai éjszakára. Gascon halálára.
say.nr501_4_epilogue_intro.128;Lehetséges, hogy hibáztam... Talán nem kellett volna meghalnia.
say.nr501_4_epilogue_intro.130;Nem kellett volna, Felség. Egyáltalán ott sem kellett volna lennie.
say.nr501_4_epilogue_intro.132;Katona vagyok, arra esküdtem fel, hogy szolgálni fogom Önt. De Gascon? Ô semmi ilyesmire nem esküdött fel. Bármikor leléphetett volna.
say.nr501_4_epilogue_intro.134;Bûntudat és sajnálkozás gyötri, Felség, jól tudom... De önként jelentkezett a feladatra, és pontosan tisztában volt azzal, mire jelentkezett. Gascon az életét adta Önért, mert hitt benne, hogy érdemes rá.
say.nr501_4_epilogue_intro.138;Nincs nagyobb bizonyíték a barátságra ennél, nincs nagyobb ajándék, amit ember adhatna. Fogadja el, Felség, és emlékezzen rá hálával, ne pedig bánattal.
say.nr501_4_epilogue_intro.143;Igaza van. Nincs nagyobb ajándék... De én nem kérem. És nem is akarom.
say.nr501_4_epilogue_intro.145;Hányan adták már az életüket értem? Ezrek? Tízezrek? El sem tudja képzelni, mekkora ez a teher.
say.nr501_4_epilogue_intro.147;Fáradt vagyok, Reynard. Nyomorultul fáradt.
