menu.nr504_1_fallen_industry.12;Harc nélkül foglalod el a várost.
menu.nr504_1_fallen_industry.13;Üldözôbe veszed a menekülô nilfgaardiakat.
menu.nr504_1_fallen_industry.147;Befektetsz a város hanyatló iparába.
menu.nr504_1_fallen_industry.148;Nem törôdsz Szélesfej jólétével.
menu.nr504_1_fallen_industry.150;Barnabásra bízod a város jövôjét.
menu.nr504_1_fallen_industry.87;A törpök a szövetségeseink.
menu.nr504_1_fallen_industry.89;Ilyen a háború. A gyôzelemért meg kell tennem mindent.
menu.nr504_1_fallen_industry.90;Botozzák meg ezt az embert!
say.nr504_1_fallen_industry.1;A távolban Szélesfej tûnt fel a láthatáron. Az egykor öntödéirôl és munka zajától hangos mûhelyeirôl híres város most némán terpeszkedett Meve és serege elôtt. Miért? Kérdezhetnétek.\n\n
say.nr504_1_fallen_industry.10;"Nézd csak meg! Két ló van minden szekér elé befogva, a kerekek pedig mélyen belemerülnek az út sarába."
say.nr504_1_fallen_industry.100;A törpök hû szövetségeseink. Azért segítenek nekünk, mert––
say.nr504_1_fallen_industry.102;Mert nyerhetnek általa valamit. Ennyire egyszerû az egész.
say.nr504_1_fallen_industry.104;Háború van. Megteszek bármit a gyôzelemért.
say.nr504_1_fallen_industry.106;Azt látom, Felség. Még adósságba is verte magát a törpöknél. Egy adósságba, amit vissza kell majd fizetnie. A saját mesteremberei árán!
say.nr504_1_fallen_industry.111;Elég! Csendet! Szerencséd, hogy a királynôd elnézô! Én már rég a fejedet vettem volna. Takarodj!
say.nr504_1_fallen_industry.124;Még mielôtt Meve elhagyta volna a piacteret, Barnabás szólította meg udvariasan...
say.nr504_1_fallen_industry.126;Khm... Ha beszélhetek ôszintén,... van némi igazság abban, amit ez az ember mond.
say.nr504_1_fallen_industry.128;Tökéletesen tisztában vagyok vele. De mit akarsz?
say.nr504_1_fallen_industry.130;Távol álljon tôlem, hogy a saját malmomra akarnám hajtani a vizet, de... talán én a segítségére lehetnék.
say.nr504_1_fallen_industry.132;Áruld el, hogyan! Csupa fül vagyok.
say.nr504_1_fallen_industry.134;Bármit, amit az emberei itt készítenek, azt a törpök kétszer olyan gyorsan és kétszer olyan jól készítik el. Találnia kell egy úgy nevezett piaci rést, valamiféle újítást. És ha már az újításoknál tartunk––
say.nr504_1_fallen_industry.136;Azok a te szakterületed.
say.nr504_1_fallen_industry.138;Minden szerénység nélkül állíthatom, hogy így van! Emellett pedig talán a békét is szolgálnánk azáltal, ha bebizonyítanánk, hogy nem minden másfajú komisz. Hogy a segítségükre is lehetnek, ahelyett, hogy csak elvennék a munkájukat, vagy beleköpnének a levesükbe.
say.nr504_1_fallen_industry.140;Fontolóra veszem, Barnabás. Átgondolom, és majd tudatom veled, mire jutottam.
say.nr504_1_fallen_industry.145;Eljött az ideje, hogy továbbálljanak Szélesfejbôl, ezért a királynô összehívta a hadsegédeit, kíváncsian várva a javaslataikat. Azok számos – köztük néhány kiváló – ötlettel is elôálltak, de a királynôn múlt, hogy eldöntse, mi legyen a város jövôje.
say.nr504_1_fallen_industry.155;Gondos mérlegelés után a királynô jóváhagyta Barnabás javaslatát. A gnóm vette kezébe a város hanyatló iparának talpra állítását.\n
say.nr504_1_fallen_industry.156;Meve úgy döntött, hogy nem hajlandó itt és most megvitatni a gazdaság és a vállalkozások ügyét.\n
say.nr504_1_fallen_industry.157;Meve tudta, hogy nem hagyhatja cserben Szélesfej polgárait, nem hagyhatja ôket kétségek között a sorsukat illetôen.\n
say.nr504_1_fallen_industry.158;Ám még a királynô támogatása révén sem versenyezhettek a mesteremberek a konkurenciával. A mahakam törpjeinek öntödéibôl kikerülô áruk alig néhány hónap alatt ellehetetlenítették a város mûhelyeit. Meve sokat kockáztatott, ám nem nyert vele semmit...
say.nr504_1_fallen_industry.159;"Ideje újra kalapácsot fogni, és felizzítani a kohókat! Fogjátok ezt az aranyat, és mutassátok meg egész Északnak, mennyit ér a szélesfeji acél!"\n\n
say.nr504_1_fallen_industry.160;Néhány katonát szíven ütött a városlakók panasza. Elkeseredettek voltak, és csalódtak a királynô döntésében... De amikor Meve kiadta a parancsot az indulásra, egyikük sem szólalt fel tiltakozásképp.
say.nr504_1_fallen_industry.161;"Legyôzni Nilfgaardot – ez most az egyetlen feladatunk"
say.nr504_1_fallen_industry.163;– mondta Meve emelt hangon, elhallgattatva ezzel a tanácsadóit. –
say.nr504_1_fallen_industry.165;"És ennek az egy célnak kell alárendelnünk minden erôforrásunkat."\n\n
say.nr504_1_fallen_industry.166;A ríviai polgárok kétkedéssel fogadták a királynô döntését, de Barnabás ügyeskedései célt értek. Az öntödék és az üzemek hamarosan újra élettôl nyüzsögtek. Nem telt bele sok idôbe, és Meve-hez is eljutottak a szélesfeji mûhelyekbôl kikerülô új termékek.
say.nr504_1_fallen_industry.168;"Barnabás, csak arra kérlek, ha lehet, ne legyen itt semmiféle robbanás..."\n
say.nr504_1_fallen_industry.169;"Egyet se féljen Felséged! Az egyetlen "robbanás" ebben a városban kizárólag gazdasági jellegû lesz!"
say.nr504_1_fallen_industry.28;"Amit a városomtól vesznek el"
