menu.nr507_1_gascon_family.12;Követed Gascont.
menu.nr507_1_gascon_family.13;Továbbmész.
menu.nr507_1_gascon_family.26;Tényleg meglep, hogy nem bízom meg benned?
menu.nr507_1_gascon_family.27;Aggódtam miattad, azért követtelek.
menu.nr507_1_gascon_family.28;Kíváncsi voltam csupán, hogy mi dolgod lehet itt.
menu.nr507_1_gascon_family.88;Újjáépíttethetem a kriptát.
menu.nr507_1_gascon_family.89;Milyen igaz. Csatlakozzunk a többiekhez.
say.nr507_1_gascon_family.1;Ahogy a lyriaiak elhaladtak egy temetô borostyánnal benôtt falai mellett, hallották, amint gyászolók szánni valóan jajveszékeltek egy papnô megható énekére. A katonák kötelességtudóan hajtották le fejüket. Gondolataik elesett bajtársaikra és halott rokonaira terelôdtek, és azon merengtek, hogy vajon még kiket fog tôlük elragadni ez a háború...
say.nr507_1_gascon_family.10;"Így is mondhatjuk. De... csak menjetek tovább. Hamarosan csatlakozni fogok hozzátok."
say.nr507_1_gascon_family.100;...
say.nr507_1_gascon_family.101;Én köszönöm.
say.nr507_1_gascon_family.103;Gascon a nap hátralevô részében hallgatag volt. Amikor a sereg megállt éjszakára, ô félrevonult a sátrába. Ám reggelre már újra a régi, cinikus önmaga volt. A családja végsô nyughelye hamarosan újra régi fényében tündököl majd. Biztos volt benne, hogy így lesz, és ezáltal egy nagy tehertôl szabadult meg végre. Így már megbékélhetett családja tragikus múltjával...
say.nr507_1_gascon_family.105;Figyelj, biztos vagyok benne, hogy már várnak ránk... Vissza kell mennem, de ha te––
say.nr507_1_gascon_family.107;Nem... Veled tartok. Ahogy látom, nincs itt számomra már semmi.
say.nr507_1_gascon_family.111;Gascon a nap hátralevô részében hallgatag volt. Amikor a sereg megállt éjszakára, ô félrevonult a sátrába. Ám reggelre újra magára öltötte önelégült vigyorát és lehengerlô kellemét, de mindez csak üres színjátéknak hatott... Mert az elmúlt nap látottak – a temetô, a családja lerombolt, megszentségtelenített végsô nyughelye – még sokáig kísértették az álmait, és éber óráiban a gondolatait.
