menu.nr510_1_race_equality.11;Elrendeled a támadást Fokvár ellen.
menu.nr510_1_race_equality.12;Felhagysz az ostrommal.
menu.nr510_1_race_equality.128;Elrendeled a támadást Fokvár ellen.
menu.nr510_1_race_equality.129;Felhagysz az ostrommal.
menu.nr510_1_race_equality.58;Teljesíted a kereskedôk kérését, és hatálytalanítod az újításokat.
menu.nr510_1_race_equality.59;Helybenhagyod a nilfgaardiak reformjait.
say.nr510_1_race_equality.1;Meve Fokvár falai alá érkezett, amely város messze földön is híres volt pazar szônyegeirôl és fali szôtteseirôl. A város kézmûvesei nagy munkában voltak, vélhetôen nilfgaardi nyomásra. Mert hogy a városháza legmagasabb tornyán egy zászló hullámzott a szélben fényes feketén, aranyló napkoronggal a közepében.
say.nr510_1_race_equality.10;"Számszeríjászok végig a falak mentén. Forró kátrány bûze a levegôben..."
say.nr510_1_race_equality.100;"Ezért most figyelmezzetek rám jól, mindannyian. Legyenek akár tündék, törpök, gnómok vagy emberek – nem számít. Az alattvalóim mind egyenlôk."\n
say.nr510_1_race_equality.102;"Felség, hiszen maga mondta, hogy ha mi nem lettünk volna––"\n
say.nr510_1_race_equality.104;"Az embereim meghaltak volna, igen. De a halottak között ott vannak Mahakam törpjei is, ha nem tévedek. Törpök, akik úgy döntöttek, hogy az oldalamon harcolnak akkor, amikor senki sem hitt benne, hogy gyôzedelmeskedhetünk."
say.nr510_1_race_equality.106;A kereskedôk dúltak és fúltak, de Meve karja egyetlen erôs lendítésével elhallgattatta ôket. {audio=nr510_1_race_equality_march}Még aznap elhagyta Fokvárt, és menet közben a kereskedôk elôítéletessége miatt füstölgött magában. Mert ott motoszkált benne az a kellemetlen igazság, miszerint van, amit a hitvány nilfgaardiak képesek voltak jól csinálni.
say.nr510_1_race_equality.119;Leszállt az est, és a lyriaiak tábort vertek. Meve leült a tábortûz mellé, és a lángokat bámulta merôn. Tisztjei és hadsegédei távolságot tartottak tôle, nem tudván, vajon a királynônek csak a tûztôl vörösödött-e ki a szeme,.... vagy a benne tomboló dühtôl. Egyedül Gábor merészkedett oda hozzá.\n
say.nr510_1_race_equality.121;"Tudod,... nem is olyan rég megkérdeztem magamtól, hogy 'Gábor, te ütôdött, hát meggárgyultál? Hátrahagytál otthont, klánt, családot,... És miért? Csak hogy egy ember királynôt kövess?' De ma megmutattad, hogy helyesen döntöttem."\n\n
say.nr510_1_race_equality.123;Gábor felállt, és visszament a gyülekezôsátorba. Ha egy kicsivel tovább elidôzik, láthatta volna, hogy Meve elmosolyodik...
say.nr510_1_race_equality.138;A lyriaiak újfent feltekintettek Fokvár falaira, és a fölöttük lengô szénfekete lobogókra.\n
say.nr510_1_race_equality.139;"Ahogy már korábban is mondtam, Felség"
say.nr510_1_race_equality.141;– szólalt meg halkan Reynard, –
