menu.nr513_1_enter_the_leshen_fixed.31;Levadászod a bestiát.
menu.nr513_1_enter_the_leshen_fixed.32;Visszavonulsz.
menu.nr513_1_enter_the_leshen_fixed.39;Levadászod a bestiát.
menu.nr513_1_enter_the_leshen_fixed.40;Továbbmész.
say.nr513_1_enter_the_leshen_fixed.1;De mi okozta a mészárlást? Nos, Meve felderítôi hamar kiderítették...\n
say.nr513_1_enter_the_leshen_fixed.10;"Ágak fonják körül, és fogják ôket gúzsba. Mintha a fák... fojtották volna meg ôket."
say.nr513_1_enter_the_leshen_fixed.13;Ezt hallván a királynô megállította a menetet. Úgy látta jónak, ha addig nem mennek tovább, amíg ki nem derítik, mi ölte meg azokat az embereket. Szerencséjükre hamarosan szemtanúkra, kátránykészítôk lesoványodott csapatára találtak, akik kosztól feketén és rájuk száradt vérrel borítottan bukkantak elô egy földbe ásott menedékbôl.\n
say.nr513_1_enter_the_leshen_fixed.14;"Úrnôm..."
say.nr513_1_enter_the_leshen_fixed.15;– hebegte a legidôsebbjük. –
say.nr513_1_enter_the_leshen_fixed.16;"Jöttek a Feketék, és elkezdték irtani az erdôt, arra kényszerítették az embereket, hogy elkezdjék felaprogatni a fákat,... hogy helyet csináljanak egy városnak, aszon'ták. De túlságosan mélyre merészkedtek, egyenest az erdô szívébe, ahol az öreg tölgyek nônek,... és felébresztettek valami komiszságot, egy ö-ö-ôrdeget."
say.nr513_1_enter_the_leshen_fixed.19;"Az egész tábort – Feketéket és favágókat éppúgy – elintézte egy éjszaka alatt. Arra se volt idô, hogy fegyvert rántsanak. Nekünk szerencsénk volt, hogy rátaláltunk az üregekre, amikbe' aztán megbújtunk. Így csak hallottuk, hogy valami dúl és fúl,... és közben a fákhoz beszél."\n
say.nr513_1_enter_the_leshen_fixed.2;Meve-nek egy lábát is elég volt betennie a Siralomerdôbe, hogy tudja, valami nincs rendjén. A rothadás gyomorforgató bûze töltötte be a levegôt, legyek felhôi döngtek és varjak károgtak fülsüketítô lármával.
say.nr513_1_enter_the_leshen_fixed.20;Reynard utasította a felcsereket, hogy lássák el a kátránykészítôk sebesüléseit, aztán Meve-hez fordult.\n
say.nr513_1_enter_the_leshen_fixed.21;"A hallottak ismeretében nem ülhetünk itt tétlenül, Felség. Az igaz, hogy a nilfgaardiak ébresztették fel a szörnyet, de amaz... válogatás nélkül öl, a ríviaiakkal is végez."
say.nr513_1_enter_the_leshen_fixed.3;"Felség..."
say.nr513_1_enter_the_leshen_fixed.41;"Nem oldhatom meg egy csapásra minden alattvalóm gondját-baját"
