menu.nr514_1_vilems_friends.10;Az Obert-ház támogatását kéred.
menu.nr514_1_vilems_friends.13;Továbbmész.
menu.nr514_1_vilems_friends.31;Megtámadod az Oberteket.
menu.nr514_1_vilems_friends.32;Elhagyod a várat.
menu.nr514_1_vilems_friends.8;Továbbmész.
menu.nr514_1_vilems_friends.9;Az Obert–ház támogatását kéred.
say.nr514_1_vilems_friends.1;Látván, hogy a harc elkerülhetetlen, Gréta Obert az erôdtoronyban keresett menedéket. A márkiné katonái a végsôkig készek voltak megvédelmezni ôt...
say.nr514_1_vilems_friends.100;"Akit Te, Felség, jogtalanul ejtettél foglyul. Bár nem rendelkezem annyi ember fölött, amennyivel kiszabadíthatnánk a rabságból,... de annyi fölött igen, amennyivel a hátam mögött már bátran visszautasítalak."\n
say.nr514_1_vilems_friends.101;"Bátorságról mersz itt beszélni?"
say.nr514_1_vilems_friends.102;– sziszegte Meve. –
say.nr514_1_vilems_friends.103;"Te, aki harc nélkül nyújtottad át a szülôföldedet az ellenségeinknek?"\n
say.nr514_1_vilems_friends.104;"A Fônemesek Tanácsának döntése szerint cselekedtem. Nincs számodra több mondanivalóm. Hagyd el az otthonomat, távozz a földjeimrôl!"
say.nr514_1_vilems_friends.109;"Aki ellen fegyvert fogtál."\n
say.nr514_1_vilems_friends.110;"Villem egy trónbitorló. Jogtalanul fosztott meg a koronámtól!"\n
say.nr514_1_vilems_friends.111;"A Fônemesek Tanácsa fosztott meg a koronádtól"
say.nr514_1_vilems_friends.112;– mondta Gréta, közben szúrós tekintettel méregette Meve–et, –
say.nr514_1_vilems_friends.113;"abbéli félelmében, hogy netalántán belekényszerítenéd ezt az országot egy értelmetlen háborúba. Félelmükben, ami, mint világosan látszik, nem volt alaptalan."\n
say.nr514_1_vilems_friends.114;"Gyôztesként tértem haza. Legyôztem Nilfgaardot Angrenben!"\n
say.nr514_1_vilems_friends.115;"Amiben nem kis szerepe volt a szerencsének. Azt gondolod talán, hogy mert Caldwellt sikerült legyôznöd, akkor a császárt is sikerülni fog? Ez ôrültség, kedves Meve. És az embereim nem fognak meghalni egy ôrültség miatt. Hagyd el az otthonomat, távozz a földjeimrôl!"
say.nr514_1_vilems_friends.124;A nevét hallván Villem elôlépett.\n
say.nr514_1_vilems_friends.125;"Szeretnék jómagam is csatlakozni anyám kéréséhez"
say.nr514_1_vilems_friends.126;– mondta a herceg. –
say.nr514_1_vilems_friends.127;"Megpróbáltunk egyezségre jutni a Birodalommal, bíztunk aep Dahy tábornok ígéretében,... ám ô egyiket a másik után szegte meg."\n
say.nr514_1_vilems_friends.128;Gréta márkiné lesütötte a szemét. Az Oberteknek ugyancsak elkobozták a földjei jó részét, a jobbágyait pedig kitoloncolták. Nilfgaard uralma alatt legalább annyit veszítettek, mint a többi nagy nemesi család.\n
say.nr514_1_vilems_friends.129;"Nem késlekedhetünk tovább... Támadnunk kell. Egyesült erôvel, minden hatalmunkkal. Csak ekképp remélhetjük kivívni a gyôzelmet."
say.nr514_1_vilems_friends.132;"Én már rég elvesztettem a reményt"
say.nr514_1_vilems_friends.133;– felelte csöndesen a nemesasszony. –
say.nr514_1_vilems_friends.134;"A toronyból néztem, ahogy tovavonulnak... Mint fekete páncélok végtelen hullámzó tengere. De... igaza van, Felség. Eljön a pillanat, amikor az embernek azt kell mondania, hogy 'Elég...' – még akkor is, ha ez az utolsó szava lesz."\n
say.nr514_1_vilems_friends.135;Villem megragadta a márkiné törékeny kezeit, és meghajolt.\n
