additional_cards_rules_key;Extra Kártyák
additional_cards_rules_tooltip_key;Ebben a csatában egyedi kártyák is szerepelnek.
anti_fatigue_five_and_more_hours;Figyelem! Elérted azt a játékidôt, ami már nem egészséges! Az egészséged megôrzése érdekében kérünk, jelentkezz ki azonnal, különben az már káros lehet az állapotodra nézve. A játékban megszerezhetô jutalmak nullára redukálódnak mindaddig, amíg legalább 5 órát offline nem töltesz.
anti_fatigue_one_hour;Eddig összesen 1 órát voltál online.
anti_fatigue_three_hours;Eddig összesen 3 órát voltál online. Kérjük, jelentkezz ki, pihenj és tornázz egy keveset.
anti_fatigue_three_to_five_hours;Mindjárt eléred a fáradtságot okozó játékidôt, a játékmenet során megszerezhetô jutalmak 50%-kal csökkennek. Az egészséged megôrzése érdekében kérjük, jelentkezz ki azonnal, törôdj magaddal, és végezz némi testmozgást.
anti_fatigue_two_hours;Eddig összesen 2 órát voltál online.
avatars_section;Avatárok
b_general_use_leader_hint;Használd a vezéred képességét!
b_nr100_1_puzzle_battle_desc;Ez a temetô egykor szent hely, a béke szigete volt – egy hely a fohászkodáshoz, a gondolkodáshoz, az elmélyüléshez. Ó, fájdalom... Most nekrofágok tallóznak a felhányt sírok között, és emberi csontok hevernek szerteszét. A papnôk úgy vélik, a szörnyek hirtelen felbukkanása valamilyen közelgô baj elôjele. De vajon miféle bajé? Milyen sors vár Lyriára és a népére?
b_nr100_1_puzzle_battle_name;Megzavart nyugalom
b_nr100_1_regular_battle_desc;Kik lehettek ezek az utazók, akiknek a holttestei az út szélén hevertek? Balszerencsés zarándokoknak tûntek, kiknek útja épp Spalla Bitangjaiét keresztezte. A haramiák elvágták a torkukat, aztán hagyták a napon rohadni a testeket. Feltehetôleg tudták, hogy a bûz messzirôl idevonzza majd a húszabáló kreatúrákat, ezáltal szörnyû halálnak téve ki a késôbb erre elhaladókat. És ez a felismerés, bizonyára, cseppet sem zavarta ôket.
b_nr100_1_regular_battle_name;Egy rövid zarándoklat
b_nr100_10_regular_battle_desc;Senki nem találja furcsának, a papnôk milyen komolysággal könyörögnek azért, hogy mások abban higyjenek, az istennô majd megvédelmezi ôket – s mégis, saját magukat ilyen biztonságot adó falakkal veszik körbe? Kilenc láb magas, majd' három vastag, tömör kô. Nagyobb garancia a biztonságra, mint a legbuzgóbb imádkozás, ez kétségtelen. Bár a környékre való tekintettel, ahol e templom emelése mellett döntöttek, valóban ez a megoldás tûnik a hatékonyabbnak...
b_nr100_10_regular_battle_name;Falak mögött
b_nr100_11_regular_battle_desc;A lyriaiak a tomboló hôségtôl elcsigázva, csendben meneteltek tovább –  nem adott ki hangot más, csak a talpak alatt megcsikorduló homok, és a hátasaik körül kellemetlenül zümmögô bogarak... Míg nem az útszéli erdô hirtelen ôrjöngô vonítástól és hörgéstôl elevenedett meg. Meve tudta, hogy ez mit jelent. Spalla Bitangjai eljöttek a falkavezérükért.
b_nr100_11_regular_battle_name;Mindenki egyért!
