character_name_aelirenn;Aelirenn
character_name_aglais;Aglaïs
character_name_albrich;Albrich
character_name_alchemist;Alkimista
character_name_archerspotters;Íjász kikémlelôk
character_name_archersupport;Íjász támogatás
character_name_ardalaepdahy;Ardal Aep Dahy
character_name_arnjolf;Arnjolf
character_name_assirevaranahid;Assire var Anahid
character_name_auckes;Auckes
character_name_avallach;Avallac'h
character_name_banardadept;Ban Ard beavatott
character_name_bandit;Útonálló
character_name_banditarcher;Útonálló íjász
character_name_barclayels;Barclay Els
character_name_barnabybeckenbauer;Barnabás
character_name_basicinfantry;Gyalogság
character_name_berserker;Medveharcos
character_name_birnabran;Birna Bran
character_name_blackinfantryarcher;Fekete Gyalogság számszeríjász
character_name_blueboylugos;Kékrevert Lugos
character_name_bluemountaincommando;Kék-hegységi különítmény
character_name_bluestripescommando;Kéksávos különítmény
character_name_bluestripesscouts;Kéksávos felderítôk
character_name_braenn;Braenn
character_name_brewess;Kotyvasz
character_name_brouverhogg;Brouver Hoog
character_name_brouverhoog;Brouver Hoog
character_name_cahir;Cahir
character_name_caranthir;Caranthir
character_name_carthiavancanteen;Carthia Van Canteen
character_name_cerys;Cerys
character_name_ciaran;Ciaran
character_name_ciri;Ciri
character_name_clanancraiteclansman;An Craite klán fosztogató
character_name_clanancraitewarrior;An Craite klán harcos
character_name_clanbrokvararcher;Brokvar klán íjász
character_name_clanbrokvarhunter;Brokvar klán vadász
character_name_clandimunpirate;Dimun klán kalóz
character_name_clandimunpiratecaptain;Dimun klán kalózkapitány
character_name_clandrummondshieldmaiden;Drummond klán pajzshajadon
character_name_clanheymaeyskald;Heymaey klán szkáld
character_name_clantordarocharmorsmith;Tordarroch klán fegyverkovács
character_name_clantordarochshieldsmith;Tordarroch klán páncélkovács
character_name_combatengineerjourneyman;Hadmérnök
character_name_countcaldwell;Caldwell
character_name_crach;Crach an Craite
character_name_crinfridreaverdragonhunter;Crinfrid martalóc
character_name_crinfridreaverscout;Crinfrid martalóc felderítô
character_name_cynthia;Cynthia
character_name_dagobert;Villem
character_name_dandelion;Kökörcsin
character_name_demawend;Demavend
character_name_denniscranmer;Dennis Cranmer
character_name_dethmold;Dethmold
character_name_dijkstra;Dijkstra
character_name_djengefrett;Djenge Frett
character_name_dolblathannaarcher;Dol Blathanna íjász
character_name_dolblathannamarksman;Dol Blathanna mesterlövész
character_name_dolblathannatrapper;Dol Blathanna csapdaállító
character_name_donaranhindar;Donar an Hindar
character_name_draigbondhu;Draig Bon-Dhu
character_name_draug;Draug
character_name_dudu;Dudu Biberveldt
character_name_dunbannerheavycavalry;Dun Banner nehézlovasság
character_name_dunbannerlightcavalry;Dun Banner könnyûlovasság
character_name_dwarfadventurer;Törp zsoldos
character_name_dwarfskirmisher;Törp elôcsatározó
character_name_eithne;Eithné
character_name_eldain;Eldain
character_name_eleyas;Ele'yas
character_name_elfadventurer;Tünde zsoldos
character_name_emhyr;Emhyr var Emreis
character_name_emissary;Küldött
character_name_eredin;Eredin
character_name_ermion;Ermion
character_name_eskel;Eskel
character_name_eyckofdenesele;Deneslei Eyck
character_name_eyckofdenesle;Deneslei Eyck
character_name_falibor;Falibor
character_name_faliborsarcher;Falibor íjásza
character_name_faliborssoldier;Falibor katonája
character_name_feldmarshalduda;Duda Feldmarschall
character_name_fieldmedic;Felcser
character_name_foltest;Foltest
character_name_francescafindabair;Francesca Findabair
character_name_fringilla;Fringilla Vigo
character_name_gaborzigrin;Gábor
character_name_gascon;Gascon
character_name_gasconthug01;Útonálló
character_name_gaunter;Gaunter O'Dimm
character_name_geels;Ge'els
character_name_geralt;Ríviai Geralt
character_name_gremist;Gremist
character_name_gudmund;Lippy Gudmund
character_name_gwalter;Xavier
character_name_haraldcripple;Nyomorék Harald
character_name_havcaarenmedic;Havekár gyógyító
character_name_havcaarenmedic2;Havekár gyógyító
character_name_havcaarenreinforcements;Havekár erôsítés
character_name_havcaarensupport;Havekár támogatás
character_name_hemdall;Hemdall
character_name_henselt;Henselt
character_name_hjalmar;Hjalmar
character_name_holgerblackhand;Feketekéz Holger
character_name_idaemean;Ida Emean
character_name_imlerith;Imlerith
character_name_imperabrigade;Impera dandár
character_name_imperacharge;Impera dandár
character_name_iorveth;Iorveth
character_name_isbel;Isbel
character_name_isbelofhagge;Isbel
character_name_isengrim;Isengrim
character_name_ithlinne;Ithlinne
character_name_jancalveit;John Calveit
character_name_johnnatalis;John Natalis
character_name_johnny;Jancsi
character_name_juttaandimun;Jutta An Dimun
character_name_kaedwenisiegeexpert;Kaedweni ostrommester
character_name_kaedwenisiegesupport;Kaedweni ostromgépkezelô
character_name_keirametz;Keira Metz
character_name_kingbran;Bran király
character_name_lambert;Lambert
character_name_leobonhart;Leo Bonhart
character_name_letho;Guleti Letho
character_name_lyrianmessenger01;Hírnök
character_name_lyrianpeasant01;Paraszt
character_name_lyrianpeasantwoman01;Paraszt
character_name_lyrianpeasantwoman02;Paraszt
character_name_lyriansoldier01;Katona
character_name_lyriansoldier02;Katona
character_name_lyriansoldier03;Katona
character_name_lyttaneyd;Lytta Neyd
character_name_madmanlugos;Ôrült Lugos
character_name_mahakamdefenders;Mahakami védô
character_name_mahakamguard;Mahakami ôr
character_name_malena;Malena
character_name_margaritta;Margarita Laux-Antille
character_name_mennocoehoorn;Menno Coehoorn
character_name_meve;Meve
character_name_milaen;Milaen
character_name_milva;Milva
character_name_minorshieldmaiden;Drummond klán pajzshajadon
character_name_mjolnir;Bugyogós
character_name_morenn;Morenn
character_name_morkvarg;Morkvarg
character_name_narrator;Mesélô
character_name_narratorhenchmen01;Zsoldos
character_name_narratorhenchmen03;Zsoldos
character_name_narratorhenchmen04;Zsoldos
character_name_narratorshenchmen2;Zsoldos
character_name_nauzicaacavalrybrigade;Nauzicaa dandár
character_name_nauzicaacavalrysupport;Nauzicaa lovassági támogatás
character_name_nauzicaapikemen;Nauzicaa lándzsás
character_name_nauzicaaspearmen;Nauzicaa dárdás
character_name_nenneke;Nenneke
character_name_nilfgaardianknight01;Nilfgaardi katona
character_name_nithral;Nithral
character_name_nr000inkeeper;Kocsmáros
character_name_nr101traitors;Caldwell csatlósai
character_name_nr102bandits;Útonállók
character_name_nr103templerobbers;Fosztogatók
character_name_nr104angrymob;Feldühödött tömeg
character_name_nr104lyriantownsman;Polgár
character_name_nr105weddingbandits;Útonállók
character_name_nr106nilfgaardians;Nilfgaardi hadosztály
character_name_nr107nilfgaardians;Nilfgaardi hadosztály
character_name_nr107nilfgaardiansoldier;Nilfgaardi katona
character_name_nr109fakelyrians;Nilfgaardi behatolók
character_name_nr110emissary;Traheaern var Vdyffir
character_name_nr110nilfgaardianemissary;Traheaern var Vdyffir
character_name_nr112manticore;Mantikór
character_name_nr113skelligepirate;Lippy Gudmund
character_name_nr115gravehag;Sírbanya
character_name_nr203townmayor;Városnagy
character_name_nr207aedirniantraitor;Falbeson
character_name_nr302dwarfelder;Vavrinek
character_name_nr304riviantownsman;Rejtélyes alak
character_name_nr308youngdwarf01;Scoia'tael törp
character_name_nr310dwarf;Vavrinek
character_name_nr310dwarfelder;Törp
character_name_nr311dwarf 01;Dühös törp
character_name_nr311dwarf 02;Ôr
character_name_nr311dwarf01;Ôr
character_name_nr311dwarf02;Ôr
character_name_nr408witcher;Ivo
character_name_nr411swamplord;Gerwin
character_name_nr501caldwyn;Caldwyn
character_name_nr501nilfgaardiansoldier01;Nilfgaardi katona
character_name_nr504riviantownsman01;Paraszt
character_name_nr505dragomir;Dragomir
character_name_nr508scoiaelf;Tünde
character_name_nr514gretaobert;Greta Obert
character_name_odrin;Odrin
character_name_olgierd;Olgierd
character_name_operator;Gépész
character_name_pavetta;Pavetta
character_name_peasantman01;Paraszt
character_name_peasantwoman01;Paraszt
character_name_philippaeilhart;Filippa Eilhart
character_name_philippstenger;Véres Báró
character_name_poorinfantry;Nyomorult gyalogság
character_name_priestessoffreya;Freya papnôje
character_name_priscilla;Priscilla
character_name_radovid;Radovid
character_name_rainfarn;Rainfarn
character_name_rayla;Rayla
character_name_raynard;Reynard
character_name_redanianelite;Redán elitegység
character_name_redanianknights;Redániai lovag
character_name_regis;Regis
character_name_riordain;Riordain
character_name_sabrinaglevissig;Sabrina Glevissig
character_name_saevel;Saevel
character_name_sarah;Sarah
character_name_saskia;Saskia
character_name_schirru;Schirrú
character_name_scoiataelneophyte;Vrihedd újonc
character_name_scoutderran;Derran, a felderítô
character_name_serrit;Serrit
character_name_shani;Shani
character_name_sheala;Tansarville-i Síle
character_name_sheldon;Sheldon Skaggs
character_name_shilard;Shilard Fitz-Oesterlen
character_name_shop;Shupe
character_name_sigrdrifa;Sigrdrifa
character_name_skjall;Skjall
character_name_spymaster;Szürke Lovas
character_name_stennis;Stennis herceg
character_name_succubus;Szukkubusz
character_name_svanrige;Svanrige
character_name_sweers;Sir Sweers
character_name_temerianinfantry;Temeriai gyalogság
character_name_thaler;Thaler
character_name_tiboreggbracht;Tibor Eggebracht
character_name_torina;Torina
character_name_toruviel;Torúviel
character_name_trissmerigold;Triss Merigold
character_name_trollchampion;Troll bajnok
character_name_trolololo;Trololo
character_name_tuirseachaxemen;Tuirseach klán fejszés
character_name_tuirseachclansmen;Tuirseach klán elôcsatározó
character_name_udalryk;Udalryk
character_name_vabjorn;Vabjorn
character_name_vandergrift;Vandergrift
character_name_vanhemar;Vanhemar
character_name_vernonroche;Vernon Roche
character_name_ves;Ves
character_name_vesemir;Vesemir
character_name_vilgefortz;Vilgefortz
character_name_voorhis;Morvran Voorhis
character_name_vreemde;Vreemde
character_name_vriheddbrigade;Vrihedd dandár
character_name_vriheddcadet;Vrihedd kadét
character_name_vriheddofficer;Vrihedd tiszt
character_name_vriheddsquaddie;Vrihedd újonc
character_name_weavess;Szöveny
character_name_whispess;Sutyor
character_name_wildhuntrider;Vad Hajsza lovas
character_name_wildhuntwarrior;Vad Hajsza harcos
character_name_xarthisius;Xarthisius
character_name_yaevin;Yaevinn
character_name_yarpenzigrin;Yarpen Zigrin
character_name_yennefer;Vengerbergi Yennefer
character_name_youngberserker;Ifjú medveharcos
character_name_youngemissary;Ifjú követ
character_name_zoltan;Zoltán Chivay
character_namer_leader_mahakam;Mahakami vezér

